ref_name,ab_name,control_var_name,control_ic50,test_var_name,test_ic50,fold_cmp,fold,as_wildtype,assay_name,test_ic50_cmp,control_ic50_cmp
Hoffmann21d,Casirivimab/Imdevimab,B.1,4.0,Omicron,797.0,=,199.3,1,Pseudovirus (VSV),=,=
Hoffmann21d,Etesevimab,B.1,20.0,Omicron,10000.0,>,500.0,1,Pseudovirus (VSV),>,=
Hoffmann21d,Imdevimab,B.1,9.0,Omicron,10000.0,>,1111.1,1,Pseudovirus (VSV),>,=
Hoffmann21d,Sotrovimab,B.1,43.0,Omicron,157.0,=,3.7,1,Pseudovirus (VSV),=,=
Liu21l,Adintrevimab,B.1,2.5,Omicron,100.0,=,40.0,1,Pseudovirus (VSV),=,=
Liu21l,BRII-196,B.1,7.1,Omicron,874.7,=,123.2,1,Pseudovirus (VSV),=,=
Liu21l,BRII-196/BRII-198,B.1,18.0,Omicron,223.3,=,12.4,1,Pseudovirus (VSV),=,=
Liu21l,BRII-198,B.1,371.3,Omicron,161.9,=,0.4,1,Pseudovirus (VSV),=,=
Liu21l,Etesevimab,B.1,8.5,Omicron,10000.0,>,1176.5,1,Pseudovirus (VSV),>,=
Liu21l,Cilgavimab,B.1,2.2,Omicron,725.2,=,329.6,1,Pseudovirus (VSV),=,=
Liu21l,Tixagevimab,B.1,0.2,Omicron,170.8,=,854.0,1,Pseudovirus (VSV),=,=
Liu21l,Cilgavimab/Tixagevimab,B.1,0.5,Omicron,54.0,=,108.0,1,Pseudovirus (VSV),=,=
Liu21l,Bamlanivimab,B.1,0.7,Omicron,10000.0,>,14285.7,1,Pseudovirus (VSV),>,=
Liu21l,BRII-196/Etesevimab,B.1,2.6,Omicron,10000.0,>,3846.2,1,Pseudovirus (VSV),>,=
Liu21l,Casirivimab,B.1,0.3,Omicron,10000.0,>,33333.3,1,Pseudovirus (VSV),>,=
Liu21l,Imdevimab,B.1,0.6,Omicron,10000.0,>,16666.7,1,Pseudovirus (VSV),>,=
Liu21l,Casirivimab/Imdevimab,B.1,1.0,Omicron,10000.0,>,10000.0,1,Pseudovirus (VSV),>,=
Liu21l,Sotrovimab,B.1,13.1,Omicron,78.6,=,6.0,1,Pseudovirus (VSV),=,=
Sheward21,Etesevimab,B.1,40.0,Omicron,10000.0,>,250.0,1,Pseudovirus (HIV),>,=
Sheward21,Bamlanivimab,B.1,7.0,Omicron,10000.0,>,1428.6,1,Pseudovirus (HIV),>,=
Sheward21,Casirivimab,B.1,9.0,Omicron,10000.0,>,1111.1,1,Pseudovirus (HIV),>,=
Sheward21,Imdevimab,B.1,8.0,Omicron,10000.0,>,1250.0,1,Pseudovirus (HIV),>,=
Sheward21,Sotrovimab,B.1,100.0,Omicron,200.0,=,2.0,1,Pseudovirus (HIV),=,=
Syed21,Casirivimab,B.1,36.0,Omicron,1000.0,>,27.8,1,VLP,>,=
Syed21,Imdevimab,B.1,34.0,Omicron,1000.0,>,29.4,1,VLP,>,=
Tada21f,Bamlanivimab/Etesevimab,B.1,2.2,Omicron,5000.0,>,2272.7,1,Pseudovirus (lentivirus),>,=
Tada21f,Bamlanivimab,B.1,0.8,Omicron,5000.0,>,6250.0,1,Pseudovirus (lentivirus),>,=
Tada21f,Casirivimab,B.1,2.1,Omicron,5000.0,>,2381.0,1,Pseudovirus (lentivirus),>,=
Tada21f,Etesevimab,B.1,5.5,Omicron,5000.0,>,909.1,1,Pseudovirus (lentivirus),>,=
Tada21f,Imdevimab,B.1,2.1,Omicron,5000.0,>,2381.0,1,Pseudovirus (lentivirus),>,=
Tada21f,Casirivimab/Imdevimab,B.1,0.8,Omicron,5000.0,>,6250.0,1,Pseudovirus (lentivirus),>,=
Tada21f,Sotrovimab,B.1,16.6,Omicron,2850.0,=,171.7,1,Pseudovirus (lentivirus),=,=
Wang21k,Adintrevimab,B.1,2.5,Omicron,265.7,=,106.3,1,Pseudovirus (VSV),=,=
Wang21k,Cilgavimab,B.1,2.0,Omicron,10000.0,>,5000.0,1,Pseudovirus (VSV),>,=
Wang21k,Tixagevimab,B.1,0.9,Omicron,10000.0,>,11111.1,1,Pseudovirus (VSV),>,=
Wang21k,Regdanvimab,B.1,0.8,Omicron,10000.0,>,12500.0,1,Pseudovirus (VSV),>,=
Wang21k,Etesevimab,B.1,6.9,Omicron,10000.0,>,1449.3,1,Pseudovirus (VSV),>,=
Wang21k,Bamlanivimab,B.1,2.2,Omicron,10000.0,>,4545.5,1,Pseudovirus (VSV),>,=
Wang21k,Casirivimab,B.1,2.0,Omicron,10000.0,>,5000.0,1,Pseudovirus (VSV),>,=
Wang21k,Imdevimab,B.1,2.8,Omicron,10000.0,>,3571.4,1,Pseudovirus (VSV),>,=
Wang21k,Sotrovimab,B.1,8.4,Omicron,58.5,=,7.0,1,Pseudovirus (VSV),=,=
Aggarwal21,Bamlanivimab,A.2.2,32.0,Omicron,10000.0,>,312.5,1,Virus isolate,>,=
Aggarwal21,Casirivimab,A.2.2,27.0,Omicron,1000.0,>,37.0,1,Virus isolate,>,=
Aggarwal21,Cilgavimab,A.2.2,18.0,Omicron,1000.0,>,55.6,1,Virus isolate,>,=
Aggarwal21,Imdevimab,A.2.2,25.0,Omicron,1000.0,>,40.0,1,Virus isolate,>,=
Aggarwal21,Sotrovimab,A.2.2,372.0,Omicron,1059.0,=,2.8,1,Virus isolate,=,=
Aggarwal21,Tixagevimab,A.2.2,47.0,Omicron,3490.0,=,74.3,1,Virus isolate,=,=
Planas21c,Adintrevimab,Delta,20.0,Omicron,391.0,=,19.6,0,Virus isolate,=,=
Planas21c,Bamlanivimab/Etesevimab,Delta,21.7,Omicron,10000.0,>,460.8,0,Virus isolate,>,=
Planas21c,Bamlanivimab,Delta,10000.0,Omicron,10000.0,=,1.0,0,Virus isolate,>,=
Planas21c,Casirivimab,Delta,2.2,Omicron,10000.0,>,4545.5,0,Virus isolate,>,=
Planas21c,Cilgavimab,Delta,62.0,Omicron,1079.0,=,17.4,0,Virus isolate,=,=
Planas21c,Etesevimab,Delta,14.0,Omicron,10000.0,>,714.3,0,Virus isolate,>,=
Planas21c,Cilgavimab/Tixagevimab,Delta,16.0,Omicron,1355.0,=,84.7,0,Virus isolate,=,=
Planas21c,Imdevimab,Delta,5.7,Omicron,10000.0,>,1754.4,0,Virus isolate,>,=
Planas21c,Regdanvimab,Delta,93.0,Omicron,10000.0,>,107.5,0,Virus isolate,>,=
Planas21c,Casirivimab/Imdevimab,Delta,10.0,Omicron,10000.0,>,1000.0,0,Virus isolate,>,=
Planas21c,Sotrovimab,Delta,369.0,Omicron,1114.0,=,3.0,0,Virus isolate,=,=
Planas21c,Tixagevimab,Delta,20.0,Omicron,10000.0,>,500.0,0,Virus isolate,>,=
Wilhelm21b,Casirivimab/Imdevimab,B,0.1,Omicron,2000.0,>,20000.0,1,Virus isolate,>,=
Cameroni21,Sotrovimab,A,179.0,Omicron,320.0,=,1.8,1,Virus isolate,=,=
VanBlargan21,Cilgavimab,B.1,32.0,Omicron,381.0,=,11.9,1,Virus isolate,=,=
VanBlargan21,Cilgavimab,B.1,40.0,Omicron,43.0,=,1.1,1,Virus isolate,=,=
VanBlargan21,Tixagevimab,B.1,6.0,Omicron,913.0,=,152.2,1,Virus isolate,=,=
VanBlargan21,Cilgavimab/Tixagevimab,B.1,12.0,Omicron,147.0,=,12.3,1,Virus isolate,=,=
VanBlargan21,Cilgavimab/Tixagevimab,B.1,16.0,Omicron,181.0,=,11.3,1,Virus isolate,=,=
VanBlargan21,Tixagevimab,B.1,8.0,Omicron,126.0,=,15.8,1,Virus isolate,=,=
VanBlargan21,Regdanvimab,B.1,2.0,Omicron,10000.0,>,5000.0,1,Virus isolate,>,=
VanBlargan21,Regdanvimab,B.1,3.0,Omicron,10000.0,>,3333.3,1,Virus isolate,>,=
VanBlargan21,Etesevimab,B.1,72.0,Omicron,10000.0,>,138.9,1,Virus isolate,>,=
VanBlargan21,Etesevimab,B.1,50.0,Omicron,8369.0,=,167.4,1,Virus isolate,=,=
VanBlargan21,Bamlanivimab,B.1,10.0,Omicron,10000.0,>,1000.0,1,Virus isolate,>,=
VanBlargan21,Bamlanivimab/Etesevimab,B.1,19.0,Omicron,10000.0,>,526.3,1,Virus isolate,>,=
VanBlargan21,Bamlanivimab/Etesevimab,B.1,25.0,Omicron,10000.0,>,400.0,1,Virus isolate,>,=
VanBlargan21,Bamlanivimab,B.1,14.0,Omicron,10000.0,>,714.3,1,Virus isolate,>,=
VanBlargan21,Casirivimab,B.1,11.0,Omicron,10000.0,>,909.1,1,Virus isolate,>,=
VanBlargan21,Casirivimab,B.1,14.0,Omicron,10000.0,>,714.3,1,Virus isolate,>,=
VanBlargan21,Imdevimab,B.1,31.0,Omicron,10000.0,>,322.6,1,Virus isolate,>,=
VanBlargan21,Casirivimab/Imdevimab,B.1,9.0,Omicron,10000.0,>,1111.1,1,Virus isolate,>,=
VanBlargan21,Casirivimab/Imdevimab,B.1,11.0,Omicron,10000.0,>,909.1,1,Virus isolate,>,=
VanBlargan21,Imdevimab,B.1,42.0,Omicron,10000.0,>,238.1,1,Virus isolate,>,=
VanBlargan21,Sotrovimab,B.1,202.0,Omicron,373.0,=,1.8,1,Virus isolate,=,=
VanBlargan21,Sotrovimab,B.1,1168.0,Omicron,7756.0,=,6.6,1,Virus isolate,=,=
