mab,results,avail,target,pdb
COVOX-384,5,,,
COV2-2479,4,,,
COV2-2489,4,,,
ADG10,3,,,
ADG30,3,,,
AZD7442,3,,,
CQ012,2,,,
CQ016,2,,,
CQ024,2,,,
CQ028,2,,,
CQ045,2,,,
CQ046,2,,,
mAb102,2,,,
CV05-163,1,,,7LOP
B07,1,,,
C14,1,,,
CC6.29,1,,,
CQ026,1,,,
CQ038,1,,,
I14,1,,,
J08,1,,,
