Ref,section,rx_name,ab_name,control_var_name,WT,control_upper_ic50,as_wildtype,assay_name,assay_name,mAb,cellline,assay
Cameroni21,"Figure 3b, 3c, Extended Data Table 2",LY-CoV016,Etesevimab,B.1,59.2,10000,1,Pseudovirus (VSV),PV,ETE,Vero,
Cameroni21,"Figure 3b, 3c, Extended Data Table 2",LY-CoV555,Bamlanivimab,B.1,21.3,10000,1,Pseudovirus (VSV),PV,BAM,Vero,
Cameroni21,"Figure 3b, 3c, Extended Data Table 2",REGN10933,Casirivimab,B.1,8.9,10000,1,Pseudovirus (VSV),PV,CAS,Vero,
Cameroni21,"Figure 3b, 3c, Extended Data Table 2",REGN10987,Imdevimab,B.1,25.1,10000,1,Pseudovirus (VSV),PV,IMD,Vero,
Cameroni21,"Figure 3b, 3c, Extended Data Table 2",Sotrovimab,Sotrovimab,B.1,90.6,10000,1,Pseudovirus (VSV),PV,SOT,Vero,
Cameroni21,"Figure 3c, Extended Data Table 2",Sotrovimab,Sotrovimab,B.1,90.6,10000,1,Pseudovirus (VSV),PV,SOT,Vero,
Cameroni21,"Figure 3c, Extended Data Table 2",COV2-2196 + COV2-2130,Cilgavimab/Tixagevimab,B.1,3.8,10000,1,Pseudovirus (VSV),PV,CIL/TIX,Vero,
Cameroni21,"Figure 3c, Extended Data Table 2",LY-CoV555 + LY-CoV016,Bamlanivimab/Etesevimab,B.1,23,10000,1,Pseudovirus (VSV),PV,BAM/ETE,Vero,
Cameroni21,"Figure 3c, Extended Data Table 2",REGN10987 + REGN10933,Casirivimab/Imdevimab,B.1,7.2,10000,1,Pseudovirus (VSV),PV,CAS/IMD,Vero,
Cao21,Fig 4b,AZD1061,Cilgavimab,B.1,2,10000,1,Pseudovirus (VSV),PV,CIL,Huh-7,
Cao21,Fig 4b,AZD8895,Tixagevimab,B.1,1,10000,1,Pseudovirus (VSV),PV,TIX,Huh-7,
Cao21,Fig 4b,BRII-196,Amubarvimab,B.1,53,10000,1,Pseudovirus (VSV),PV,BRII-196,Huh-7,
Cao21,Fig 4b,LY-CoV016,Etesevimab,B.1,32,10000,1,Pseudovirus (VSV),PV,ETE,Huh-7,
Cao21,Fig 4b,LY-CoV555,Bamlanivimab,B.1,13,10000,1,Pseudovirus (VSV),PV,BAM,Huh-7,
Cao21,Fig 4b,REGN10933,Casirivimab,B.1,5,10000,1,Pseudovirus (VSV),PV,CAS,Huh-7,
Cao21,Fig 4b,REGN10987,Imdevimab,B.1,5,10000,1,Pseudovirus (VSV),PV,IMD,Huh-7,
Cao21,Fig 4b,VIR-7831,Sotrovimab,B.1,58,10000,1,Pseudovirus (VSV),PV,SOT,Huh-7,
Cao22-1,Figure 4a,ADG-2,Adintrevimab,B,40.6,10000,1,Virus isolate,AV,ADG20,Huh-7,
Cao22-1,Figure 4a,S309,Sotrovimab,B,78.1,10000,1,Virus isolate,AV,SOT,Huh-7,
Cao22-2,Table S2,ADG-2,Adintrevimab,B.1,13.4,10000,1,Pseudovirus,PV,ADG20,Huh-7,
Cao22-2,Table S2,BRII-196,Amubarvimab,B.1,52.9,10000,1,Pseudovirus,PV,BRII-196,Huh-7,
Cao22-2,Table S2,BRII-198,Romlusevimab,B.1,1240,10000,1,Pseudovirus,PV,BRII-198,Huh-7,
Cao22-2,Table S2,C144,C144,B.1,7.39,10000,1,Pseudovirus,PV,C144,Huh-7,
Cao22-2,Table S2,COV2-2130,Cilgavimab,B.1,1.44,10000,1,Pseudovirus,PV,CIL,Huh-7,
Cao22-2,Table S2,COV2-2196,Tixagevimab,B.1,1.26,10000,1,Pseudovirus,PV,TIX,Huh-7,
Cao22-2,Table S2,LY-CoV016,Etesevimab,B.1,31.6,10000,1,Pseudovirus,PV,ETE,Huh-7,
Cao22-2,Table S2,LY-CoV1404,Bebtelovimab,B.1,1.5,10000,1,Pseudovirus,PV,BEB,Huh-7,
Cao22-2,Table S2,LY-CoV555,Bamlanivimab,B.1,12.8,10000,1,Pseudovirus,PV,BAM,Huh-7,
Cao22-2,Table S2,REGN10933,Casirivimab,B.1,5.31,10000,1,Pseudovirus,PV,CAS,Huh-7,
Cao22-2,Table S2,REGN10987,Imdevimab,B.1,5.39,10000,1,Pseudovirus,PV,IMD,Huh-7,
Cao22-2,Table S2,S309,Sotrovimab,B.1,78.3,10000,1,Pseudovirus,PV,SOT,Huh-7,
Case22,Figure 1n,AZD1061,Cilgavimab,B.1,29.5,50000,1,Virus isolate,AV,CIL,Vero,TMPRSS2
Case22,Figure 1n,AZD7442,Cilgavimab/Tixagevimab,B.1,6.5,50000,1,Virus isolate,AV,CIL/TIX,Vero,TMPRSS2
Case22,Figure 1n,AZD8895,Tixagevimab,B.1,5.4,50000,1,Virus isolate,AV,TIX,Vero,TMPRSS2
Case22,Figure 1n,S309,Sotrovimab,B.1,185.2,50000,1,Virus isolate,AV,SOT,Vero,TMPRSS2
Cathcart21,Table 2,Vir-7831,Sotrovimab,B,104.46,10000,1,Pseudovirus (VSV),PV,SOT,Vero,
Chen22,Fig 1h,LY-CoV555,Bamlanivimab,A,3,10000,1,Pseudovirus,PV,BAM,293T,ACE2-TMPRSS2
Chen22,Fig 1h,REGN10933,Casirivimab,A,2,10000,1,Pseudovirus,PV,CAS,293T,ACE2-TMPRSS2
Chen22,Fig 1h,REGN10987,Imdevimab,A,9,10000,1,Pseudovirus,PV,IMD,293T,ACE2-TMPRSS2
Cui22,Figure 5C,AZD1061,Cilgavimab,B.1,2.2,10000,1,Pseudovirus (VSV),PV,CIL,Huh-7,
Cui22,Figure 5C,AZD8895,Tixagevimab,B.1,2.2,10000,1,Pseudovirus (VSV),PV,TIX,Huh-7,
Cui22,Figure 5C,BRII-196,Amubarvimab,B.1,51.5,10000,1,Pseudovirus (VSV),PV,BRII-196,Huh-7,
Cui22,Figure 5C,LY-CoV016,Etesevimab,B.1,39.3,10000,1,Pseudovirus (VSV),PV,ETE,Huh-7,
Cui22,Figure 5C,LY-CoV555,Bamlanivimab,B.1,12.5,10000,1,Pseudovirus (VSV),PV,BAM,Huh-7,
Cui22,Figure 5C,Regen10933,Casirivimab,B.1,6.1,10000,1,Pseudovirus (VSV),PV,CAS,Huh-7,
Cui22,Figure 5C,Regen10987,Imdevimab,B.1,9.6,10000,1,Pseudovirus (VSV),PV,IMD,Huh-7,
Dejnirattisai22,"Figure 4C, Table S1",ADG20,Adintrevimab,B,4,10000,1,Virus isolate,AV,ADG20,Vero,
Dejnirattisai22,"Figure 4C, Table S1",AZD1061,Cilgavimab,B,13,10000,1,Virus isolate,AV,CIL,Vero,
Dejnirattisai22,"Figure 4C, Table S1",AZD7442,Cilgavimab/Tixagevimab,B,9,10000,1,Virus isolate,AV,CIL/TIX,Vero,
Dejnirattisai22,"Figure 4C, Table S1",AZD8895,Tixagevimab,B,5,10000,1,Virus isolate,AV,TIX,Vero,
Dejnirattisai22,"Figure 4C, Table S1",LY-CoV-555,Bamlanivimab,B,6,10000,1,Virus isolate,AV,BAM,Vero,
Dejnirattisai22,"Figure 4C, Table S1",LY-CoV16,Etesevimab,B,34,10000,1,Virus isolate,AV,ETE,Vero,
Dejnirattisai22,"Figure 4C, Table S1",REGN10933,Casirivimab,B,4,10000,1,Virus isolate,AV,CAS,Vero,
Dejnirattisai22,"Figure 4C, Table S1",REGN10987,Imdevimab,B,32,10000,1,Virus isolate,AV,IMD,Vero,
Dejnirattisai22,"Figure 4C, Table S1",S309,Sotrovimab,B,40,10000,1,Virus isolate,AV,SOT,Vero,
Duty22-1,Table 1D,Cilgavimab,Cilgavimab,A,56.34,10000,1,Virus isolate,AV,CIL,293T,ACE2-TMPRSS2
Duty22-1,Table 1D,Sotrovimab,Sotrovimab,A,166.7,10000,1,Virus isolate,AV,SOT,293T,ACE2-TMPRSS2
Duty22-1,Table 1D,Tixagevimab,Tixagevimab,A,8.726,10000,1,Virus isolate,AV,TIX,293T,ACE2-TMPRSS2
Duty22-2,Table 1C,Cilgavimab,Cilgavimab,B.1,35.3,10000,1,Pseudovirus (VSV),PV,CIL,293T,ACE2-TMPRSS2
Duty22-2,Table 1C,Tixagevimab,Tixagevimab,B.1,6.7,10000,1,Pseudovirus (VSV),PV,TIX,293T,ACE2-TMPRSS2
Fenwick22,Figure 2f,ADG-2,Adintrevimab,Delta,21,20000,0,Virus isolate,AV,ADG20,Vero,
Fenwick22,Figure 2f,AZD cocktail,Cilgavimab/Tixagevimab,Delta,17,20000,0,Virus isolate,AV,CIL/TIX,Vero,
Fenwick22,Figure 2f,REGN cocktail,Casirivimab/Imdevimab,Delta,8,20000,0,Virus isolate,AV,CAS/IMD,Vero,
Fenwick22,Figure 2f,Sotrovimab,Sotrovimab,Delta,147,20000,0,Virus isolate,AV,SOT,Vero,
Gruell22,Fig 2,Bamlanivimab,Bamlanivimab,B,3.1,10000,1,Pseudovirus (HIV),PV,BAM,293T,ACE2
Gruell22,Fig 2,Etesevimab,Etesevimab,B,19.4,10000,1,Pseudovirus (HIV),PV,ETE,293T,ACE2
Gruell22,Fig 2,REGN10933,Casirivimab,B,1.9,10000,1,Pseudovirus (HIV),PV,CAS,293T,ACE2
Gruell22,Fig 2,REGN10987,Imdevimab,B,9.4,10000,1,Pseudovirus (HIV),PV,IMD,293T,ACE2
Gruell22,Fig 2,Sotrovimab,Sotrovimab,B,1964.2,10000,1,Pseudovirus (HIV),PV,SOT,293T,ACE2
Gruell22b,Figure 4B,ADG-2,Adintrevimab,B,5,10000,1,Pseudovirus (HIV),PV,ADG20,293T,ACE2
Gruell22b,Figure 4B,Bamlanivimab,Bamlanivimab,B,5,10000,1,Pseudovirus (HIV),PV,BAM,293T,ACE2
Gruell22b,Figure 4B,C135,C135,B,5,10000,1,Pseudovirus (HIV),PV,C135,293T,ACE2
Gruell22b,Figure 4B,C144,C144,B,5,10000,1,Pseudovirus (HIV),PV,C144,293T,ACE2
Gruell22b,Figure 4B,COV2-2130,Cilgavimab,B,5,10000,1,Pseudovirus (HIV),PV,CIL,293T,ACE2
Gruell22b,Figure 4B,COV2-2196,Tixagevimab,B,5,10000,1,Pseudovirus (HIV),PV,TIX,293T,ACE2
Gruell22b,Figure 4B,CT-P59,Regdanvimab,B,5,10000,1,Pseudovirus (HIV),PV,REG,293T,ACE2
Gruell22b,Figure 4B,Casirivimab,Casirivimab,B,5,10000,1,Pseudovirus (HIV),PV,CAS,293T,ACE2
Gruell22b,Figure 4B,Etesevimab,Etesevimab,B,18,10000,1,Pseudovirus (HIV),PV,ETE,293T,ACE2
Gruell22b,Figure 4B,Imdevimab,Imdevimab,B,5,10000,1,Pseudovirus (HIV),PV,IMD,293T,ACE2
Gruell22b,Figure 4B,LY-CoV1404,Bebtelovimab,B,5,10000,1,Pseudovirus (HIV),PV,BEB,293T,ACE2
Gruell22b,Figure 4B,P2C-1F11,Amubarvimab,B,5,10000,1,Pseudovirus (HIV),PV,BRII-196,293T,ACE2
Gruell22b,Figure 4B,Sotrovimab,Sotrovimab,B,685,10000,1,Pseudovirus (HIV),PV,SOT,293T,ACE2
Hoffmann22,Figure 2C,Bamlanivimab,Bamlanivimab,B.1,6,10000,1,Pseudovirus (VSV),PV,BAM,Vero,
Hoffmann22,Figure 2C,Bamlanivimab/Etesevimab,Bamlanivimab/Etesevimab,B.1,5,10000,1,Pseudovirus (VSV),PV,BAM/ETE,Vero,
Hoffmann22,Figure 2C,Casirivimab,Casirivimab,B.1,4,10000,1,Pseudovirus (VSV),PV,CAS,Vero,
Hoffmann22,Figure 2C,Casirivimab/Imdevimab,Casirivimab/Imdevimab,B.1,4,10000,1,Pseudovirus (VSV),PV,CAS/IMD,Vero,
Hoffmann22,Figure 2C,Etesevimab,Etesevimab,B.1,20,10000,1,Pseudovirus (VSV),PV,ETE,Vero,
Hoffmann22,Figure 2C,Imdevimab,Imdevimab,B.1,9,10000,1,Pseudovirus (VSV),PV,IMD,Vero,
Hoffmann22,Figure 2C,Sotrovimab,Sotrovimab,B.1,43,10000,1,Pseudovirus (VSV),PV,SOT,Vero,
Ikemura21,Figure 2A,Imdevimab+Casirivimab,Casirivimab/Imdevimab,B,9,100000,1,Pseudovirus (lentivirus),PV,CAS/IMD,293T,ACE2
Ikemura21,Figure 2A,Sotrovimab,Sotrovimab,B,324,100000,1,Pseudovirus (lentivirus),PV,SOT,293T,ACE2
Iketani22,Figure 2a,ADG-2,Adintrevimab,B.1,18.9,10000,1,Pseudovirus,PV,ADG20,Vero,
Iketani22,Figure 2a,BRII-196,Amubarvimab,B.1,18.8,10000,1,Pseudovirus,PV,BRII-196,Vero,
Iketani22,Figure 2a,BRII-196+BRII-198,Amubarvimab/Romlusevimab,B.1,46.4,10000,1,Pseudovirus,PV,BRII-196/198,Vero,
Iketani22,Figure 2a,BRII-198,Romlusevimab,B.1,464.2,10000,1,Pseudovirus,PV,BRII-198,Vero,
Iketani22,Figure 2a,CB6,Etesevimab,B.1,22.5,10000,1,Pseudovirus,PV,ETE,Vero,
Iketani22,Figure 2a,COV2-2130,Cilgavimab,B.1,16.5,10000,1,Pseudovirus,PV,CIL,Vero,
Iketani22,Figure 2a,COV2-2196,Tixagevimab,B.1,5.1,10000,1,Pseudovirus,PV,TIX,Vero,
Iketani22,Figure 2a,COV2-2196+COV2-2130,Cilgavimab/Tixagevimab,B.1,5.3,10000,1,Pseudovirus,PV,CIL/TIX,Vero,
Iketani22,Figure 2a,LY-CoV1404,Bebtelovimab,B.1,5.3,10000,1,Pseudovirus,PV,BEB,Vero,
Iketani22,Figure 2a,LY-CoV555,Bamlanivimab,B.1,7.2,10000,1,Pseudovirus,PV,BAM,Vero,
Iketani22,Figure 2a,LY-CoV555+CB6,Bamlanivimab/Etesevimab,B.1,10,10000,1,Pseudovirus,PV,BAM/ETE,Vero,
Iketani22,Figure 2a,REGN10933,Casirivimab,B.1,4.8,10000,1,Pseudovirus,PV,CAS,Vero,
Iketani22,Figure 2a,REGN10987,Imdevimab,B.1,6.5,10000,1,Pseudovirus,PV,IMD,Vero,
Iketani22,Figure 2a,REGN10987+REGN10933,Casirivimab/Imdevimab,B.1,6.7,10000,1,Pseudovirus,PV,CAS/IMD,Vero,
Iketani22,Figure 2a,S309,Sotrovimab,B.1,43.4,10000,1,Pseudovirus,PV,SOT,Vero,
Iketani22,Figure 2b,ADG-2,Adintrevimab,B.1,18.9,10000,1,Pseudovirus,PV,ADG20,Vero,
Iketani22,Figure 2b,BRII-196,Amubarvimab,B.1,18.8,10000,1,Pseudovirus,PV,BRII-196,Vero,
Iketani22,Figure 2b,BRII-198,Romlusevimab,B.1,464.2,10000,1,Pseudovirus,PV,BRII-198,Vero,
Iketani22,Figure 2b,CB6,Etesevimab,B.1,22.5,10000,1,Pseudovirus,PV,ETE,Vero,
Iketani22,Figure 2b,COV2-2130,Cilgavimab,B.1,16.5,10000,1,Pseudovirus,PV,CIL,Vero,
Iketani22,Figure 2b,COV2-2196,Tixagevimab,B.1,5.1,10000,1,Pseudovirus,PV,TIX,Vero,
Iketani22,Figure 2b,LY-CoV1404,Bebtelovimab,B.1,5.3,10000,1,Pseudovirus,PV,BEB,Vero,
Iketani22,Figure 2b,LY-CoV555,Bamlanivimab,B.1,7.2,10000,1,Pseudovirus,PV,BAM,Vero,
Iketani22,Figure 2b,REGN10933,Casirivimab,B.1,4.8,10000,1,Pseudovirus,PV,CAS,Vero,
Iketani22,Figure 2b,REGN10987,Imdevimab,B.1,6.5,10000,1,Pseudovirus,PV,IMD,Vero,
Iketani22,Figure 2b,S309,Sotrovimab,B.1,43.4,10000,1,Pseudovirus,PV,SOT,Vero,
Ju22,Figure S1F,C144,C144,B,1,50000,1,Pseudovirus (HIV),PV,C144,293T,ACE2
Ju22,Figure S1F,CB6,Etesevimab,B,12,50000,1,Pseudovirus (HIV),PV,ETE,293T,ACE2
Ju22,Figure S1F,REGN10933,Casirivimab,B,2,50000,1,Pseudovirus (HIV),PV,CAS,293T,ACE2
Ju22,Figure S1F,REGN10987,Imdevimab,B,2,50000,1,Pseudovirus (HIV),PV,IMD,293T,ACE2
Ju22,Figure S1F,S309,Sotrovimab,B,93,50000,1,Pseudovirus (HIV),PV,SOT,293T,ACE2
Liu21l,Figure 2c,ADG-2,Adintrevimab,B.1,2.5,10000,1,Pseudovirus (VSV),PV,ADG20,Vero,
Liu21l,Figure 2c,BRII-196,Amubarvimab,B.1,6.9,10000,1,Pseudovirus (VSV),PV,BRII-196,Vero,
Liu21l,Figure 2c,BRII-196+BRII-198,Amubarvimab/Romlusevimab,B.1,18.4,10000,1,Pseudovirus (VSV),PV,BRII-196/198,Vero,
Liu21l,Figure 2c,BRII-198,Romlusevimab,B.1,357.4,10000,1,Pseudovirus (VSV),PV,BRII-198,Vero,
Liu21l,Figure 2c,CB6,Etesevimab,B.1,8.6,10000,1,Pseudovirus (VSV),PV,ETE,Vero,
Liu21l,Figure 2c,COV2-2130,Cilgavimab,B.1,2,10000,1,Pseudovirus (VSV),PV,CIL,Vero,
Liu21l,Figure 2c,COV2-2196,Tixagevimab,B.1,0.2,10000,1,Pseudovirus (VSV),PV,TIX,Vero,
Liu21l,Figure 2c,COV2-2196+COV2-2130,Cilgavimab/Tixagevimab,B.1,0.5,10000,1,Pseudovirus (VSV),PV,CIL/TIX,Vero,
Liu21l,Figure 2c,LY-CoV555,Bamlanivimab,B.1,0.7,10000,1,Pseudovirus (VSV),PV,BAM,Vero,
Liu21l,Figure 2c,LY-CoV555+CB6,Bamlanivimab/Etesevimab,B.1,2.4,10000,1,Pseudovirus (VSV),PV,BAM/ETE,Vero,
Liu21l,Figure 2c,REGN10933,Casirivimab,B.1,0.3,10000,1,Pseudovirus (VSV),PV,CAS,Vero,
Liu21l,Figure 2c,REGN10987,Imdevimab,B.1,0.6,10000,1,Pseudovirus (VSV),PV,IMD,Vero,
Liu21l,Figure 2c,REGN10987+REGN10933,Casirivimab/Imdevimab,B.1,1,10000,1,Pseudovirus (VSV),PV,CAS/IMD,Vero,
Liu21l,Figure 2c,S309,Sotrovimab,B.1,64.3,10000,1,Pseudovirus (VSV),PV,SOT,Vero,
Liu21l,Figure 2d,ADG-2,Adintrevimab,B.1,2.5,10000,1,Pseudovirus (VSV),PV,ADG20,Vero,
Liu21l,Figure 2d,BRII-196,Amubarvimab,B.1,6.9,10000,1,Pseudovirus (VSV),PV,BRII-196,Vero,
Liu21l,Figure 2d,BRII-198,Romlusevimab,B.1,357.4,10000,1,Pseudovirus (VSV),PV,BRII-198,Vero,
Liu21l,Figure 2d,CB6,Etesevimab,B.1,8.6,10000,1,Pseudovirus (VSV),PV,ETE,Vero,
Liu21l,Figure 2d,COV2-2130,Cilgavimab,B.1,2,10000,1,Pseudovirus (VSV),PV,CIL,Vero,
Liu21l,Figure 2d,COV2-2196,Tixagevimab,B.1,0.2,10000,1,Pseudovirus (VSV),PV,TIX,Vero,
Liu21l,Figure 2d,LY-CoV555,Bamlanivimab,B.1,0.7,10000,1,Pseudovirus (VSV),PV,BAM,Vero,
Liu21l,Figure 2d,REGN10933,Casirivimab,B.1,0.3,10000,1,Pseudovirus (VSV),PV,CAS,Vero,
Liu21l,Figure 2d,REGN10987,Imdevimab,B.1,0.6,10000,1,Pseudovirus (VSV),PV,IMD,Vero,
Liu21l,Figure 2d,S309,Sotrovimab,B.1,64.3,10000,1,Pseudovirus (VSV),PV,SOT,Vero,
Lusvarghi22,Fig 4,ADG20,Adintrevimab,B.1,0.6,10000,1,Pseudovirus (lentivirus),PV,ADG20,293T,ACE2-TMPRSS2
Lusvarghi22,Fig 4,AMU+ROM,Amubarvimab/Romlusevimab,B.1,18.8,10000,1,Pseudovirus (lentivirus),PV,BRII-196/198,293T,ACE2-TMPRSS2
Lusvarghi22,Fig 4,Amubarvimab,Amubarvimab,B.1,21.3,10000,1,Pseudovirus (lentivirus),PV,BRII-196,293T,ACE2-TMPRSS2
Lusvarghi22,Fig 4,BAM+ETE,Bamlanivimab/Etesevimab,B.1,3.9,10000,1,Pseudovirus (lentivirus),PV,BAM/ETE,293T,ACE2-TMPRSS2
Lusvarghi22,Fig 4,Bamlanivimab,Bamlanivimab,B.1,2.5,10000,1,Pseudovirus (lentivirus),PV,BAM,293T,ACE2-TMPRSS2
Lusvarghi22,Fig 4,Bebtelovimab,Bebtelovimab,B.1,1.3,10000,1,Pseudovirus (lentivirus),PV,BEB,293T,ACE2-TMPRSS2
Lusvarghi22,Fig 4,C-144,C144,B.1,4.9,10000,1,Pseudovirus (lentivirus),PV,C144,293T,ACE2-TMPRSS2
Lusvarghi22,Fig 4,Cilgavimab,Cilgavimab,B.1,3.7,10000,1,Pseudovirus (lentivirus),PV,CIL,293T,ACE2-TMPRSS2
Lusvarghi22,Fig 4,Etesevimab,Etesevimab,B.1,25,10000,1,Pseudovirus (lentivirus),PV,ETE,293T,ACE2-TMPRSS2
Lusvarghi22,Fig 4,REGEN-COV,Casirivimab/Imdevimab,B.1,2.7,10000,1,Pseudovirus (lentivirus),PV,CAS/IMD,293T,ACE2-TMPRSS2
Lusvarghi22,Fig 4,Romlusevimab,Romlusevimab,B.1,203.8,10000,1,Pseudovirus (lentivirus),PV,BRII-198,293T,ACE2-TMPRSS2
Lusvarghi22,Fig 4,TIX+CIL,Cilgavimab/Tixagevimab,B.1,1.3,10000,1,Pseudovirus (lentivirus),PV,CIL/TIX,293T,ACE2-TMPRSS2
Lusvarghi22,Fig 4,Tixagevimab,Tixagevimab,B.1,1.6,10000,1,Pseudovirus (lentivirus),PV,TIX,293T,ACE2-TMPRSS2
Ma22,Figure 2b,Bamlanivimab,Bamlanivimab,A,80,100000,1,Virus isolate,AV,BAM,Vero,
Ma22,Figure 2b,Casirivimab,Casirivimab,A,46,100000,1,Virus isolate,AV,CAS,Vero,
Ma22,Figure 2b,Etesevimab,Etesevimab,A,137,100000,1,Virus isolate,AV,ETE,Vero,
Ma22,Figure 2b,Imdevimab,Imdevimab,A,46,100000,1,Virus isolate,AV,IMD,Vero,
