variant,rx_name,level,month,infection,num_study,num_result
B,mRNA-1273,high,1,infected,1,3
B,AZD1222 + AZD2816,low,>=2,naive,1,0
B,AZD1222 + AZD2816,middle,>=2,naive,1,0
B,AZD1222 + AZD2816,high,>=2,naive,1,6
B,Ad26.COV2.S,low,1,naive,1,0
B,Ad26.COV2.S,middle,1,naive,1,0
B,Ad26.COV2.S,high,1,naive,1,12
Alpha,CP,low,1,infected,36,143
Alpha,CP,middle,1,infected,36,156
Alpha,CP,high,1,infected,36,628
Alpha,CP,low,>=2,infected,22,131
Alpha,CP,middle,>=2,infected,22,60
Alpha,CP,high,>=2,infected,22,645
Alpha,mRNA-1273,low,1,naive,13,59
Alpha,mRNA-1273,middle,1,naive,13,19
Alpha,mRNA-1273,high,1,naive,13,412
Alpha,mRNA-1273,low,>=2,naive,2,1
Alpha,mRNA-1273,middle,>=2,naive,2,2
Alpha,mRNA-1273,high,>=2,naive,2,28
Alpha,mRNA-1273,low,1,infected,1,2
Alpha,mRNA-1273,middle,1,infected,1,1
Alpha,mRNA-1273,high,1,infected,1,12
Alpha,BNT162b2,low,1,naive,39,25
Alpha,BNT162b2,middle,1,naive,39,157
Alpha,BNT162b2,high,1,naive,39,1041
Alpha,BNT162b2,low,>=2,naive,5,32
Alpha,BNT162b2,middle,>=2,naive,5,12
Alpha,BNT162b2,high,>=2,naive,5,192
Alpha,BNT162b2,low,1,infected,6,0
Alpha,BNT162b2,middle,1,infected,6,1
Alpha,BNT162b2,high,1,infected,6,62
Alpha,CoronaVac,low,>=2,naive,2,76
Alpha,CoronaVac,middle,>=2,naive,2,25
Alpha,CoronaVac,high,>=2,naive,2,18
Alpha,CoronaVac,low,1,naive,2,77
Alpha,CoronaVac,middle,1,naive,2,7
Alpha,CoronaVac,high,1,naive,2,1
Alpha,Ad26.COV2.S,low,>=2,naive,4,6
Alpha,Ad26.COV2.S,middle,>=2,naive,4,12
Alpha,Ad26.COV2.S,high,>=2,naive,4,27
Alpha,Ad26.COV2.S,low,1,naive,2,4
Alpha,Ad26.COV2.S,middle,1,naive,2,2
Alpha,Ad26.COV2.S,high,1,naive,2,16
Alpha,AZD1222,low,1,naive,6,55
Alpha,AZD1222,middle,1,naive,6,42
Alpha,AZD1222,high,1,naive,6,95
Alpha,AZD1222,low,>=2,naive,1,0
Alpha,AZD1222,middle,>=2,naive,1,0
Alpha,AZD1222,high,>=2,naive,1,20
Alpha,AZD1222 + BNT162b2,low,1,naive,3,0
Alpha,AZD1222 + BNT162b2,middle,1,naive,3,10
Alpha,AZD1222 + BNT162b2,high,1,naive,3,81
Alpha,Sputnik V,low,>=2,naive,2,11
Alpha,Sputnik V,middle,>=2,naive,2,29
Alpha,Sputnik V,high,>=2,naive,2,11
Alpha,Sputnik V,low,1,naive,3,15
Alpha,Sputnik V,middle,1,naive,3,7
Alpha,Sputnik V,high,1,naive,3,10
Alpha,MVC-COV1901,low,1,naive,1,0
Alpha,MVC-COV1901,middle,1,naive,1,6
Alpha,MVC-COV1901,high,1,naive,1,39
Alpha,BBV152,low,1,naive,1,3
Alpha,BBV152,middle,1,naive,1,11
Alpha,BBV152,high,1,naive,1,24
Alpha,BBV152,low,>=2,naive,1,0
Alpha,BBV152,middle,>=2,naive,1,15
Alpha,BBV152,high,>=2,naive,1,13
Alpha,NVX-CoV2373,low,1,naive,1,1
Alpha,NVX-CoV2373,middle,1,naive,1,3
Alpha,NVX-CoV2373,high,1,naive,1,24
Alpha,BBIBP-CorV,low,1,naive,2,475
Alpha,BBIBP-CorV,middle,1,naive,2,14
Alpha,BBIBP-CorV,high,1,naive,2,6
Beta,CP,low,1,infected,38,371
Beta,CP,middle,1,infected,38,127
Beta,CP,high,1,infected,38,614
Beta,CP,low,>=2,infected,18,208
Beta,CP,middle,>=2,infected,18,122
Beta,CP,high,>=2,infected,18,457
Beta,mRNA-1273,low,1,naive,15,133
Beta,mRNA-1273,middle,1,naive,15,73
Beta,mRNA-1273,high,1,naive,15,340
Beta,mRNA-1273,low,>=2,naive,4,31
Beta,mRNA-1273,middle,>=2,naive,4,4
Beta,mRNA-1273,high,>=2,naive,4,69
Beta,mRNA-1273,low,1,infected,2,13
Beta,mRNA-1273,middle,1,infected,2,10
Beta,mRNA-1273,high,1,infected,2,13
Beta,BNT162b2,low,1,naive,42,314
Beta,BNT162b2,middle,1,naive,42,388
Beta,BNT162b2,high,1,naive,42,623
Beta,BNT162b2,low,>=2,naive,3,15
Beta,BNT162b2,middle,>=2,naive,3,29
Beta,BNT162b2,high,>=2,naive,3,35
Beta,BNT162b2,low,1,infected,9,5
Beta,BNT162b2,middle,1,infected,9,2
Beta,BNT162b2,high,1,infected,9,111
Beta,Ad26.COV2.S,low,>=2,naive,4,16
Beta,Ad26.COV2.S,middle,>=2,naive,4,19
Beta,Ad26.COV2.S,high,>=2,naive,4,8
Beta,Ad26.COV2.S,low,1,naive,4,58
Beta,Ad26.COV2.S,middle,1,naive,4,5
Beta,Ad26.COV2.S,high,1,naive,4,17
Beta,Ad26.COV2.S,low,1,infected,1,1
Beta,Ad26.COV2.S,middle,1,infected,1,1
Beta,Ad26.COV2.S,high,1,infected,1,37
Beta,AZD1222,low,1,naive,5,55
Beta,AZD1222,middle,1,naive,5,98
Beta,AZD1222,high,1,naive,5,5
Beta,AZD1222,low,>=2,naive,2,1
Beta,AZD1222,middle,>=2,naive,2,5
Beta,AZD1222,high,>=2,naive,2,19
Beta,AZD1222 + BNT162b2,low,1,naive,3,14
Beta,AZD1222 + BNT162b2,middle,1,naive,3,26
Beta,AZD1222 + BNT162b2,high,1,naive,3,51
Beta,Sputnik V,low,>=2,naive,1,30
Beta,Sputnik V,middle,>=2,naive,1,3
Beta,Sputnik V,high,>=2,naive,1,1
Beta,Sputnik V,low,1,naive,2,5
Beta,Sputnik V,middle,1,naive,2,6
Beta,Sputnik V,high,1,naive,2,2
Beta,ZF2001,low,1,naive,1,1
Beta,ZF2001,middle,1,naive,1,10
Beta,ZF2001,high,1,naive,1,1
Beta,BBIBP-CorV,low,1,naive,3,489
Beta,BBIBP-CorV,middle,1,naive,3,16
Beta,BBIBP-CorV,high,1,naive,3,2
Beta,MVC-COV1901,low,1,naive,1,17
Beta,MVC-COV1901,middle,1,naive,1,21
Beta,MVC-COV1901,high,1,naive,1,43
Beta,NVX-CoV2373,low,1,naive,1,6
Beta,NVX-CoV2373,middle,1,naive,1,13
Beta,NVX-CoV2373,high,1,naive,1,4
Beta,AZD1222 + AZD2816,low,>=2,naive,1,0
Beta,AZD1222 + AZD2816,middle,>=2,naive,1,6
Beta,AZD1222 + AZD2816,high,>=2,naive,1,0
Beta,CoronaVac,low,1,naive,2,80
Beta,CoronaVac,middle,1,naive,2,5
Beta,CoronaVac,high,1,naive,2,0
Beta,mRNA-1273.351,low,1,naive,1,0
Beta,mRNA-1273.351,middle,1,naive,1,0
Beta,mRNA-1273.351,high,1,naive,1,8
Beta,mRNA-1273.351,low,>=2,naive,1,0
Beta,mRNA-1273.351,middle,>=2,naive,1,0
Beta,mRNA-1273.351,high,>=2,naive,1,20
Beta,mRNA-1273.211,low,1,naive,1,0
Beta,mRNA-1273.211,middle,1,naive,1,0
Beta,mRNA-1273.211,high,1,naive,1,8
Beta,BBV152,low,1,naive,1,6
Beta,BBV152,middle,1,naive,1,4
Beta,BBV152,high,1,naive,1,7
Gamma,CP,low,1,infected,17,68
Gamma,CP,middle,1,infected,17,70
Gamma,CP,high,1,infected,17,217
Gamma,CP,low,>=2,infected,10,81
Gamma,CP,middle,>=2,infected,10,29
Gamma,CP,high,>=2,infected,10,344
Gamma,mRNA-1273,low,1,naive,6,13
Gamma,mRNA-1273,middle,1,naive,6,27
Gamma,mRNA-1273,high,1,naive,6,210
Gamma,mRNA-1273,low,>=2,naive,2,10
Gamma,mRNA-1273,middle,>=2,naive,2,0
Gamma,mRNA-1273,high,>=2,naive,2,34
Gamma,mRNA-1273,low,1,infected,1,5
Gamma,mRNA-1273,middle,1,infected,1,6
Gamma,mRNA-1273,high,1,infected,1,4
Gamma,BNT162b2,low,1,naive,16,9
Gamma,BNT162b2,middle,1,naive,16,78
Gamma,BNT162b2,high,1,naive,16,388
Gamma,BNT162b2,low,>=2,naive,1,0
Gamma,BNT162b2,middle,>=2,naive,1,0
Gamma,BNT162b2,high,>=2,naive,1,75
Gamma,BNT162b2,low,1,infected,2,0
Gamma,BNT162b2,middle,1,infected,2,0
Gamma,BNT162b2,high,1,infected,2,15
Gamma,CoronaVac,low,>=2,naive,3,106
Gamma,CoronaVac,middle,>=2,naive,3,17
Gamma,CoronaVac,high,>=2,naive,3,28
Gamma,CoronaVac,low,1,naive,1,62
Gamma,CoronaVac,middle,1,naive,1,9
Gamma,CoronaVac,high,1,naive,1,3
Gamma,Ad26.COV2.S,low,>=2,naive,3,9
Gamma,Ad26.COV2.S,middle,>=2,naive,3,11
Gamma,Ad26.COV2.S,high,>=2,naive,3,15
Gamma,Ad26.COV2.S,low,1,naive,1,4
Gamma,Ad26.COV2.S,middle,1,naive,1,3
Gamma,Ad26.COV2.S,high,1,naive,1,3
Gamma,AZD1222,low,1,naive,3,48
Gamma,AZD1222,middle,1,naive,3,8
Gamma,AZD1222,high,1,naive,3,14
Gamma,AZD1222 + BNT162b2,low,1,naive,2,11
Gamma,AZD1222 + BNT162b2,middle,1,naive,2,23
Gamma,AZD1222 + BNT162b2,high,1,naive,2,31
Gamma,Sputnik V,low,>=2,naive,2,31
Gamma,Sputnik V,middle,>=2,naive,2,0
Gamma,Sputnik V,high,>=2,naive,2,2
Gamma,Sputnik V,low,1,naive,1,15
Gamma,Sputnik V,middle,1,naive,1,1
Gamma,Sputnik V,high,1,naive,1,0
Gamma,mRNA-1273.351,low,1,naive,1,0
Gamma,mRNA-1273.351,middle,1,naive,1,0
Gamma,mRNA-1273.351,high,1,naive,1,8
Gamma,mRNA-1273.351,low,>=2,naive,1,0
Gamma,mRNA-1273.351,middle,>=2,naive,1,0
Gamma,mRNA-1273.351,high,>=2,naive,1,20
Gamma,mRNA-1273.211,low,1,naive,1,0
Gamma,mRNA-1273.211,middle,1,naive,1,0
Gamma,mRNA-1273.211,high,1,naive,1,8
Gamma,BBIBP-CorV,low,1,naive,1,470
Gamma,BBIBP-CorV,middle,1,naive,1,0
Gamma,BBIBP-CorV,high,1,naive,1,0
Delta,CP,low,1,infected,7,41
Delta,CP,middle,1,infected,7,43
Delta,CP,high,1,infected,7,133
Delta,CP,low,>=2,infected,7,56
Delta,CP,middle,>=2,infected,7,37
Delta,CP,high,>=2,infected,7,98
Delta,BNT162b2,low,1,naive,10,14
Delta,BNT162b2,middle,1,naive,10,40
Delta,BNT162b2,high,1,naive,10,317
Delta,BNT162b2,low,>=2,naive,5,47
Delta,BNT162b2,middle,>=2,naive,5,60
Delta,BNT162b2,high,>=2,naive,5,112
Delta,Ad26.COV2.S,low,1,naive,3,30
Delta,Ad26.COV2.S,middle,1,naive,3,6
Delta,Ad26.COV2.S,high,1,naive,3,3
Delta,Ad26.COV2.S,low,>=2,naive,3,8
Delta,Ad26.COV2.S,middle,>=2,naive,3,7
Delta,Ad26.COV2.S,high,>=2,naive,3,10
Delta,Ad26.COV2.S,low,1,infected,1,2
Delta,Ad26.COV2.S,middle,1,infected,1,1
Delta,Ad26.COV2.S,high,1,infected,1,36
Delta,AZD1222,low,1,naive,6,117
Delta,AZD1222,middle,1,naive,6,73
Delta,AZD1222,high,1,naive,6,46
Delta,AZD1222,low,>=2,naive,2,6
Delta,AZD1222,middle,>=2,naive,2,3
Delta,AZD1222,high,>=2,naive,2,16
Delta,AZD1222,low,1,infected,1,0
Delta,AZD1222,middle,1,infected,1,0
Delta,AZD1222,high,1,infected,1,19
Delta,AZD1222 + BNT162b2,low,1,naive,2,54
Delta,AZD1222 + BNT162b2,middle,1,naive,2,0
Delta,AZD1222 + BNT162b2,high,1,naive,2,65
Delta,mRNA-1273,low,1,naive,6,8
Delta,mRNA-1273,middle,1,naive,6,33
Delta,mRNA-1273,high,1,naive,6,56
Delta,mRNA-1273,low,>=2,naive,3,9
Delta,mRNA-1273,middle,>=2,naive,3,1
Delta,mRNA-1273,high,>=2,naive,3,34
Delta,mRNA-1273,low,1,infected,1,2
Delta,mRNA-1273,middle,1,infected,1,7
Delta,mRNA-1273,high,1,infected,1,6
Delta,Sputnik V,low,>=2,naive,1,0
Delta,Sputnik V,middle,>=2,naive,1,16
Delta,Sputnik V,high,>=2,naive,1,0
Delta,AZD1222 + AZD2816,low,>=2,naive,1,0
Delta,AZD1222 + AZD2816,middle,>=2,naive,1,0
Delta,AZD1222 + AZD2816,high,>=2,naive,1,6
Delta,CoronaVac,low,1,naive,1,60
Delta,CoronaVac,middle,1,naive,1,0
Delta,CoronaVac,high,1,naive,1,0
Delta,BBV152,low,1,naive,1,5
Delta,BBV152,middle,1,naive,1,2
Delta,BBV152,high,1,naive,1,10
Delta,BBV152,low,>=2,naive,1,0
Delta,BBV152,middle,>=2,naive,1,0
Delta,BBV152,high,>=2,naive,1,84
Delta,BBV152,low,>=2,infected,1,0
Delta,BBV152,middle,>=2,infected,1,0
Delta,BBV152,high,>=2,infected,1,88
A,CP,low,>=2,infected,5,19
A,CP,middle,>=2,infected,5,7
A,CP,high,>=2,infected,5,93
A,CP,low,1,infected,7,24
A,CP,middle,1,infected,7,11
A,CP,high,1,infected,7,78
A,Ad26.COV2.S,low,>=2,naive,2,3
A,Ad26.COV2.S,middle,>=2,naive,2,3
A,Ad26.COV2.S,high,>=2,naive,2,21
A,Ad26.COV2.S,low,1,naive,2,1
A,Ad26.COV2.S,middle,1,naive,2,0
A,Ad26.COV2.S,high,1,naive,2,21
A,BNT162b2,low,1,naive,13,2
A,BNT162b2,middle,1,naive,13,7
A,BNT162b2,high,1,naive,13,298
A,BNT162b2,low,>=2,naive,1,0
A,BNT162b2,middle,>=2,naive,1,0
A,BNT162b2,high,>=2,naive,1,1
A,BNT162b2,low,1,infected,2,0
A,BNT162b2,middle,1,infected,2,0
A,BNT162b2,high,1,infected,2,18
A,mRNA-1273,low,1,naive,7,27
A,mRNA-1273,middle,1,naive,7,29
A,mRNA-1273,high,1,naive,7,203
A,mRNA-1273,low,>=2,naive,1,0
A,mRNA-1273,middle,>=2,naive,1,0
A,mRNA-1273,high,>=2,naive,1,26
A,mRNA-1273,low,1,infected,1,1
A,mRNA-1273,middle,1,infected,1,2
A,mRNA-1273,high,1,infected,1,12
B.1.1.298,CP,low,1,infected,2,6
B.1.1.298,CP,middle,1,infected,2,10
B.1.1.298,CP,high,1,infected,2,63
B.1.1.298,BNT162b2,low,1,naive,1,0
B.1.1.298,BNT162b2,middle,1,naive,1,0
B.1.1.298,BNT162b2,high,1,naive,1,12
B.1.1.117,CP,low,1,infected,1,0
B.1.1.117,CP,middle,1,infected,1,3
B.1.1.117,CP,high,1,infected,1,17
Epsilon,CP,low,>=2,infected,2,1
Epsilon,CP,middle,>=2,infected,2,7
Epsilon,CP,high,>=2,infected,2,16
Epsilon,CP,low,1,infected,3,8
Epsilon,CP,middle,1,infected,3,6
Epsilon,CP,high,1,infected,3,12
Epsilon,Ad26.COV2.S,low,>=2,naive,2,7
Epsilon,Ad26.COV2.S,middle,>=2,naive,2,11
Epsilon,Ad26.COV2.S,high,>=2,naive,2,9
Epsilon,Ad26.COV2.S,low,1,naive,1,5
Epsilon,Ad26.COV2.S,middle,1,naive,1,2
Epsilon,Ad26.COV2.S,high,1,naive,1,3
Epsilon,mRNA-1273,low,1,naive,7,16
Epsilon,mRNA-1273,middle,1,naive,7,26
Epsilon,mRNA-1273,high,1,naive,7,126
Epsilon,mRNA-1273,low,1,infected,1,6
Epsilon,mRNA-1273,middle,1,infected,1,9
Epsilon,mRNA-1273,high,1,infected,1,15
Epsilon,BNT162b2,low,1,naive,3,6
Epsilon,BNT162b2,middle,1,naive,3,13
Epsilon,BNT162b2,high,1,naive,3,45
Epsilon,BNT162b2,low,1,infected,1,0
Epsilon,BNT162b2,middle,1,infected,1,0
Epsilon,BNT162b2,high,1,infected,1,5
Epsilon,NVX-CoV2373,low,1,naive,1,0
Epsilon,NVX-CoV2373,middle,1,naive,1,2
Epsilon,NVX-CoV2373,high,1,naive,1,21
Epsilon,mRNA-1273.351,low,1,naive,1,0
Epsilon,mRNA-1273.351,middle,1,naive,1,0
Epsilon,mRNA-1273.351,high,1,naive,1,8
Epsilon,mRNA-1273.211,low,1,naive,1,0
Epsilon,mRNA-1273.211,middle,1,naive,1,0
Epsilon,mRNA-1273.211,high,1,naive,1,8
Kappa,CP,low,1,infected,4,19
Kappa,CP,middle,1,infected,4,25
Kappa,CP,high,1,infected,4,50
Kappa,CP,low,>=2,infected,3,5
Kappa,CP,middle,>=2,infected,3,22
Kappa,CP,high,>=2,infected,3,37
Kappa,Ad26.COV2.S,low,1,naive,2,13
Kappa,Ad26.COV2.S,middle,1,naive,2,5
Kappa,Ad26.COV2.S,high,1,naive,2,2
Kappa,Ad26.COV2.S,low,>=2,naive,2,1
Kappa,Ad26.COV2.S,middle,>=2,naive,2,2
Kappa,Ad26.COV2.S,high,>=2,naive,2,13
Kappa,mRNA-1273,low,1,naive,4,13
Kappa,mRNA-1273,middle,1,naive,4,4
Kappa,mRNA-1273,high,1,naive,4,33
Kappa,mRNA-1273,low,>=2,naive,1,0
Kappa,mRNA-1273,middle,>=2,naive,1,2
Kappa,mRNA-1273,high,>=2,naive,1,11
Kappa,mRNA-1273,low,1,infected,1,3
Kappa,mRNA-1273,middle,1,infected,1,7
Kappa,mRNA-1273,high,1,infected,1,5
Kappa,BNT162b2,low,1,naive,7,3
Kappa,BNT162b2,middle,1,naive,7,17
Kappa,BNT162b2,high,1,naive,7,109
Kappa,AZD1222 + BNT162b2,low,1,naive,1,0
Kappa,AZD1222 + BNT162b2,middle,1,naive,1,0
Kappa,AZD1222 + BNT162b2,high,1,naive,1,26
Kappa,ZF2001,low,1,naive,1,0
Kappa,ZF2001,middle,1,naive,1,0
Kappa,ZF2001,high,1,naive,1,2
Kappa,CoronaVac,low,1,naive,1,16
Kappa,CoronaVac,middle,1,naive,1,4
Kappa,CoronaVac,high,1,naive,1,0
Kappa,AZD1222,low,1,naive,3,3
Kappa,AZD1222,middle,1,naive,3,52
Kappa,AZD1222,high,1,naive,3,46
Kappa,AZD1222,low,>=2,naive,1,0
Kappa,AZD1222,middle,>=2,naive,1,0
Kappa,AZD1222,high,>=2,naive,1,5
Kappa,AZD1222,low,1,infected,1,0
Kappa,AZD1222,middle,1,infected,1,0
Kappa,AZD1222,high,1,infected,1,18
Kappa,AZD1222 + AZD2816,low,>=2,naive,1,0
Kappa,AZD1222 + AZD2816,middle,>=2,naive,1,0
Kappa,AZD1222 + AZD2816,high,>=2,naive,1,6
Kappa,BBV152,low,>=2,naive,1,0
Kappa,BBV152,middle,>=2,naive,1,19
Kappa,BBV152,high,>=2,naive,1,9
B.1.1.241,CP,low,1,infected,1,0
B.1.1.241,CP,middle,1,infected,1,0
B.1.1.241,CP,high,1,infected,1,34
Alpha/E484K,CP,low,1,infected,2,20
Alpha/E484K,CP,middle,1,infected,2,19
Alpha/E484K,CP,high,1,infected,2,39
Alpha/E484K,CP,low,>=2,infected,1,19
Alpha/E484K,CP,middle,>=2,infected,1,8
Alpha/E484K,CP,high,>=2,infected,1,31
Alpha/E484K,mRNA-1273,low,1,naive,3,15
Alpha/E484K,mRNA-1273,middle,1,naive,3,2
Alpha/E484K,mRNA-1273,high,1,naive,3,16
Alpha/E484K,mRNA-1273,low,1,infected,1,7
Alpha/E484K,mRNA-1273,middle,1,infected,1,4
Alpha/E484K,mRNA-1273,high,1,infected,1,4
Alpha/E484K,ZF2001,low,1,naive,1,0
Alpha/E484K,ZF2001,middle,1,naive,1,0
Alpha/E484K,ZF2001,high,1,naive,1,2
Alpha/E484K,CoronaVac,low,1,naive,1,7
Alpha/E484K,CoronaVac,middle,1,naive,1,13
Alpha/E484K,CoronaVac,high,1,naive,1,0
Alpha/E484K,BNT162b2,low,1,naive,1,0
Alpha/E484K,BNT162b2,middle,1,naive,1,1
Alpha/E484K,BNT162b2,high,1,naive,1,19
B.1.463,CP,low,1,infected,1,49
B.1.463,CP,middle,1,infected,1,1
B.1.463,CP,high,1,infected,1,0
B.1.463,BNT162b2,low,1,naive,1,1
B.1.463,BNT162b2,middle,1,naive,1,7
B.1.463,BNT162b2,high,1,naive,1,78
Beta w/o K417N,CP,low,1,infected,1,0
Beta w/o K417N,CP,middle,1,infected,1,0
Beta w/o K417N,CP,high,1,infected,1,18
Eta,CP,low,>=2,infected,1,0
Eta,CP,middle,>=2,infected,1,0
Eta,CP,high,>=2,infected,1,16
Eta,mRNA-1273,low,1,naive,3,8
Eta,mRNA-1273,middle,1,naive,3,8
Eta,mRNA-1273,high,1,naive,3,28
Eta,mRNA-1273,low,1,infected,1,3
Eta,mRNA-1273,middle,1,infected,1,7
Eta,mRNA-1273,high,1,infected,1,5
Eta,BNT162b2,low,1,naive,3,0
Eta,BNT162b2,middle,1,naive,3,1
Eta,BNT162b2,high,1,naive,3,86
Zeta,CP,low,1,infected,3,31
Zeta,CP,middle,1,infected,3,5
Zeta,CP,high,1,infected,3,11
Zeta,CP,low,>=2,infected,1,31
Zeta,CP,middle,>=2,infected,1,0
Zeta,CP,high,>=2,infected,1,0
Zeta,Ad26.COV2.S,low,>=2,naive,1,2
Zeta,Ad26.COV2.S,middle,>=2,naive,1,1
Zeta,Ad26.COV2.S,high,>=2,naive,1,5
Zeta,BBV152,low,>=2,naive,1,3
Zeta,BBV152,middle,>=2,naive,1,11
Zeta,BBV152,high,>=2,naive,1,28
Zeta,mRNA-1273,low,1,naive,1,8
Zeta,mRNA-1273,middle,1,naive,1,0
Zeta,mRNA-1273,high,1,naive,1,0
