ref_name,rx_name,control_variant,variant,sample
Imai21,7602,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7614,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,7614,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7626,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,7626,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7629,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,7629,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7635,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,7635,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7641,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,7641,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7644,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,7644,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7656,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,7656,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7683,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,7683,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7686,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,7686,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7701,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,7701,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7794,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,7794,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7806,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,7806,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7836,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,7836,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,7854,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,7854,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,8787,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,8787,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,8832,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,8832,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,9163,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,9163,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,9394,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,9394,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Imai21,9418,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-HP095-1N/Human/2020/Tokyo,1
Imai21,9418,hCoV-19/Japan/TY7-501/2021,SARS-CoV-2/UT-NCGM02/Human/2020/Tokyo,1
Supasa21,ADG10,B.1.1.7 full genome,VIC,1
Supasa21,ADG20,B.1.1.7 full genome,VIC,1
Supasa21,ADG30,B.1.1.7 full genome,VIC,1
Supasa21,AZD1061,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_1,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_10,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_11,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_12,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_13,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_14,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_15,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_16,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_17,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_18,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_19,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_2,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_20,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_21,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_22,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_23,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_24,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_25,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_3,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_4,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_5,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_6,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_7,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_8,B.1.1.7 full genome,VIC,1
Supasa21,AZD1222_9,B.1.1.7 full genome,VIC,1
Supasa21,AZD7442,B.1.1.7 full genome,VIC,1
Supasa21,AZD8895,B.1.1.7 full genome,VIC,1
Hammerschmidt21,AZD_1dose,B.1.617.2 Spike,B.1.617.2 Spike,31
Sapkal21c,AZD_1st_1,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_10,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_11,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_12,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_13,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_14,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_15,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_16,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_17,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_18,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_19,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_2,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_20,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_21,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_22,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_23,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_24,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_25,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_26,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_27,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_28,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_29,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_3,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_30,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_31,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_4,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_5,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_6,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_7,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_8,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_1st_9,B.1.617.2 full genome,B.1 full genome,1
Planas21b,AZD_1st_W10_1,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,AZD_1st_W10_10,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,AZD_1st_W10_11,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,AZD_1st_W10_12,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,AZD_1st_W10_2,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,AZD_1st_W10_3,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,AZD_1st_W10_4,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,AZD_1st_W10_5,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,AZD_1st_W10_6,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,AZD_1st_W10_7,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,AZD_1st_W10_8,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,AZD_1st_W10_9,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Hammerschmidt21,AZD_2dose,B.1.617.2 Spike,B.1.617.2 Spike,31
Sapkal21c,AZD_2nd_1,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_10,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_11,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_12,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_13,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_14,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_15,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_16,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_17,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_18,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_19,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_2,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_20,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_21,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_22,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_23,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_24,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_25,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_26,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_27,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_28,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_29,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_3,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_30,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_31,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_4,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_5,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_6,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_7,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_8,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_2nd_9,B.1.617.2 full genome,B.1 full genome,1
Planas21b,AZD_2nd_W16,B.1.1.7 full genome,B.1.617.2_2029113 full genome,20
Hammerschmidt21,AZD_BNT_1dose,B.1.617.2 Spike,B.1.617.2 Spike,54
Hammerschmidt21,AZD_BNT_2dose,B.1.617.2 Spike,B.1.617.2 Spike,54
Sapkal21c,AZD_infect_1st_1,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_1st_10,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_1st_11,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_1st_12,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_1st_13,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_1st_14,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_1st_15,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_1st_2,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_1st_3,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_1st_4,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_1st_5,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_1st_6,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_1st_7,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_1st_8,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_1st_9,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_1,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_10,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_11,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_12,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_13,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_14,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_15,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_16,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_17,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_18,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_19,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_2,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_3,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_4,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_5,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_6,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_7,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_8,B.1.617.2 full genome,B.1 full genome,1
Sapkal21c,AZD_infect_2nd_9,B.1.617.2 full genome,B.1 full genome,1
Yadav21d,BBV152,hCoV-19/India/un-NIV_P1_20203524/2020,hCoV-19/India/DL-ICMR-30100647IST_P3/2021,42
Yadav21d,BBV152,hCoV-19/India/un-NIV_P1_20203524/2020,hCoV-19/India/MH-ICMR-202356035_isolate/2021,42
Yadav21d,BBV152,hCoV-19/India/un-NIV_P1_20203524/2020,hCoV-19/India/TN-ICMR-MCL_3687_4681_Iso/2021,42
Yadav21,BBV152_01,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_02,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_03,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_04,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_05,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_06,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_07,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_08,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_09,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_10,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_11,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_12,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_13,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_14,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_15,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_16,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_17,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_18,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_19,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_20,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_21,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_22,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_23,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_24,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_25,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_26,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_27,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21,BBV152_28,B.1.1.7 full genome,B.1.617.1 full genome,1
Yadav21d,BBV152_breakthrough,hCoV-19/India/un-NIV_P1_20203524/2020,hCoV-19/India/DL-ICMR-30100647IST_P3/2021,30
Yadav21d,BBV152_breakthrough,hCoV-19/India/un-NIV_P1_20203524/2020,hCoV-19/India/MH-ICMR-202356035_isolate/2021,30
Yadav21d,BBV152_breakthrough,hCoV-19/India/un-NIV_P1_20203524/2020,hCoV-19/India/TN-ICMR-MCL_3687_4681_Iso/2021,30
Yadav21d,BBV152_recovered,hCoV-19/India/un-NIV_P1_20203524/2020,hCoV-19/India/DL-ICMR-30100647IST_P3/2021,14
Yadav21d,BBV152_recovered,hCoV-19/India/un-NIV_P1_20203524/2020,hCoV-19/India/MH-ICMR-202356035_isolate/2021,14
Yadav21d,BBV152_recovered,hCoV-19/India/un-NIV_P1_20203524/2020,hCoV-19/India/TN-ICMR-MCL_3687_4681_Iso/2021,14
Gonzalez21,BNT162b2,19A_1707038,B.1.1.7 full genome_1707039,30
Gonzalez21,BNT162b2,19A_1707038,B.1.351 full genome_768828,30
Supasa21,BNT162b2_1,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_10,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_11,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_12,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_13,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_14,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_15,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_16,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_17,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_18,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_19,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_2,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_20,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_21,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_22,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_23,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_24,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_25,B.1.1.7 full genome,VIC,1
Groß21,BNT162b2_2x,B.1.1.7 Spike,B.1.351 Spike,12
Groß21,BNT162b2_2x,B.1.1.7 Spike,B.1.617 Spike,12
Supasa21,BNT162b2_3,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_4,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_5,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_6,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_7,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_8,B.1.1.7 full genome,VIC,1
Supasa21,BNT162b2_9,B.1.1.7 full genome,VIC,1
Hammerschmidt21,BNT_1dose,B.1.617.2 Spike,B.1.617.2 Spike,30
Planas21b,BNT_1st_W3,B.1.1.7 full genome,B.1.617.2_2029113 full genome,16
Hammerschmidt21,BNT_2dose,B.1.617.2 Spike,B.1.617.2 Spike,30
Planas21b,BNT_2nd_W16_1,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,BNT_2nd_W16_10,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,BNT_2nd_W16_11,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,BNT_2nd_W16_12,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,BNT_2nd_W16_13,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,BNT_2nd_W16_2,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,BNT_2nd_W16_3,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,BNT_2nd_W16_4,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,BNT_2nd_W16_5,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,BNT_2nd_W16_6,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,BNT_2nd_W16_7,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,BNT_2nd_W16_8,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,BNT_2nd_W16_9,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,BNT_2nd_W8_1,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
Planas21b,BNT_2nd_W8_10,B.1.1.7 full genome,B.1.617.2_2029113 full genome,1
