pattern,Plasma,S,I,R,Reference,Aggregate,Median,num_fold
Beta,CP_BNT_infected,16,16,16,Turner21,False,1.5,48
Beta,CP_BNT_uninfected,36,36,36,Turner21,False,1,108
Beta,CP_M3,56,56,56,Planas21,False,1.5,168
Beta,CP_M6,50,50,50,Planas21,False,1.5,150
Beta,CP_M9,60,60,60,Planas21,False,1.2,180
Beta,CP_Mild,40,40,40,Faulkner21,False,4.1,120
Beta,CP_Mild,180,180,180,Rees-Spear21,False,1.2,540
Beta,CP_Mild,58,0,0,Saade21,True,2.0,58
Beta,CP_Mild,24,24,24,Skelly21,False,8.1,72
Beta,CP_Orleans,42,42,42,Planas21b,False,1.3,126
Beta,CP_Patient,34,34,34,Faulkner21,False,2.5,102
Beta,CP_Patient_M3,34,34,34,Faulkner21,False,1.7,102
Beta,CP_Severe,180,180,180,Rees-Spear21,False,1,540
Beta,CP_Severe,50,0,0,Saade21,True,1.75,50
Beta,CP_Strasbourg,78,78,78,Planas21b,False,1.4,234
Beta,CP_VAC_recovered,22,22,22,Jalkanen21,False,1,66
Beta,CP_WT_mice,7,7,7,Weigang21,False,2.3,21
Beta,CP_Wildtype,40,40,40,Collier21,False,3.3,120
Beta,CP_acute,60,60,60,Edara21,False,0.8,180
Beta,CP_acute,19,19,19,Edara21b,False,4.7,57
Beta,CP_first_wave,31,62,31,Tea21,True,4.0,124
Beta,CP_high_titer,131,131,131,Alenquer21,False,2.4,393
Beta,CP_high_titer,44,44,44,Wibmer21,False,14,132
Beta,CP_hosp,56,28,0,Caniels21,True,2.4,84
Beta,CP_infected,10,10,10,Goel21,False,2.9,30
Beta,CP_low_titer,123,123,123,Alenquer21,False,1.9,369
Beta,CP_low_titer,44,44,44,Wibmer21,False,8.5,132
Beta,CP_medium_titer,78,78,78,Alenquer21,False,1.8,234
Beta,CP_non-hosp,41,82,0,Caniels21,True,3.0,123
Beta,CP_recovered,26,26,26,Geers21,False,0.6,78
Beta,IVIG,24,24,24,Tang21,False,3.6,72
Delta,BNT_infected,24,24,24,Reynolds21,False,14,72
Delta,BNT_infected,0,24,0,Reynolds21,True,8.5,24
Delta,CP,60,60,60,Andreano21,False,2.7,180
Delta,CP,0,20,0,Annavajhala21b,True,4.1,20
Delta,CP,20,0,0,Annavajhala21b,True,2.6,20
Delta,CP,16,16,16,Arora21,False,2.4,48
Delta,CP,86,86,86,Bates21,False,1,258
Delta,CP,6,6,6,Becker21,False,5.5,18
Delta,CP,214,107,0,Betton21,True,1.0,321
Delta,CP,13,13,13,Brown21,False,0.8,39
Delta,CP,244,244,244,Cantoni21,False,2.7,732
Delta,CP,13,13,13,Cele21,False,8.5,39
Delta,CP,105,105,105,Chen21,False,2.4,315
Delta,CP,37,37,37,Collier21,False,1.7,111
Delta,CP,34,34,34,Dejnirattisai21,False,3,102
Delta,CP,36,36,36,Deng21,False,2,108
Delta,CP,6,6,0,Diez21,True,3.15,12
Delta,CP,315,315,315,Dupont21,False,2.1,945
Delta,CP,60,60,60,Edara21,False,0.6,180
Delta,CP,30,30,30,Edara21b,False,5.1,90
Delta,CP,48,48,48,Edara21c,False,4.1,144
Delta,CP,11,11,11,Graham21,False,2,33
Delta,CP,50,50,50,Greaney21,False,1.7,150
Delta,CP,48,48,48,Greaney21c,False,2,144
Delta,CP,27,27,27,Hoffmann21,False,3,81
Delta,CP,14,14,14,Hoffmann21b,False,2.1,42
Delta,CP,30,30,30,Hoffmann21c,False,2.5,90
Delta,CP,40,40,40,Hu21c,False,1.7,120
Delta,CP,68,68,68,Imai21,False,1,204
Delta,CP,150,150,150,Jalkanen21,False,1,450
Delta,CP,30,30,30,Jangra21,False,2.5,90
Delta,CP,9,9,9,Kemp21,False,1.3,27
Delta,CP,20,20,20,Kuzmina21,False,2.9,60
Delta,CP,20,10,0,Leier21,True,1.5,30
Delta,CP,820,820,820,Li20h,False,1.1,2460
Delta,CP,270,36,0,Li21c,True,0.9,306
Delta,CP,240,240,240,Li21d,False,3.1,720
Delta,CP,186,186,186,Liu21,False,1.6,558
Delta,CP,64,64,64,Liu21f,False,3.0,192
Delta,CP,64,64,64,Liu21h,False,1.5,192
Delta,CP,30,30,30,Marot21,False,4,90
Delta,CP,30,15,15,Marot21,True,4.3,60
Delta,CP,36,36,36,McCallum21b,False,7,108
Delta,CP,12,24,0,Mlcochova21,True,6.2,36
Delta,CP,44,44,44,Moyo-Gwete21,False,15,132
Delta,CP,580,580,580,Muecksch21b,False,2.4,1740
Delta,CP,18,18,18,Riou21,False,13,54
Delta,CP,12,12,12,Rondinone21,False,1,36
Delta,CP,34,0,0,Saade21,True,0.7,34
Delta,CP,19,19,19,Sapkal21,False,1,57
Delta,CP,180,180,180,Shen21,False,1.3,540
Delta,CP,56,56,56,Shen21b,False,3.7,168
Delta,CP,30,30,30,Stamatatos21,False,4.1,90
Delta,CP,9,9,9,Stankov21,False,1,27
Delta,CP,34,34,34,Supasa21,False,2.5,102
Delta,CP,155,155,155,Tada21,False,0.9,465
Delta,CP,10,0,0,Tada21,True,1.8,10
Delta,CP,80,80,80,Tada21c,False,2.0,240
Delta,CP,56,56,56,Tada21d,False,1.6,168
Delta,CP,112,112,112,Tada21e,False,2.2,336
Delta,CP,72,72,72,Tang21,False,2.8,216
Delta,CP,192,192,192,Trinite21,False,1.1,576
Delta,CP,42,84,0,Trombetta21,True,3.5,126
Delta,CP,56,56,56,Uriu21,False,4.0,168
Delta,CP,60,90,30,Vacharathit21,True,8.0,180
Delta,CP,20,0,0,Vicenti21,True,0.6,20
Delta,CP,42,21,0,Vidal21,True,1.3,63
Delta,CP,125,125,125,Virtanen21,False,1,375
Delta,CP,400,400,400,Wang21b,False,1.4,1200
Delta,CP,40,40,40,Wang21d,False,2.1,120
Delta,CP,240,240,240,Wang21f,False,1,720
Delta,CP,102,102,102,Wang21g,False,1.0,306
Delta,CP,9,9,9,Weigang21,False,2.4,27
Delta,CP,52,52,52,Weisblum20,False,2.3,156
Delta,CP,80,80,80,Widera21,False,2,240
Delta,CP,20,20,0,Wilhelm21,True,2.85,40
Delta,CP,20,20,0,Wilhelm21,True,3.0,40
Delta,CP,90,20,0,Wilson21,True,1.4,110
Delta,CP,40,40,40,Yadav21b,False,2.4,120
Delta,CP,90,90,90,Yi21,False,1.8,270
Delta,CP,80,5,0,Zhang21c,True,1.3,85
Delta,CP,34,34,34,Zhou21b,False,11,102
Delta,CP,18,18,18,Zhou21c,False,3.2,54
Delta,CP,42,42,42,deSouza21,False,11,126
Delta,CP_1.3M,20,20,20,West21,False,3,60
Delta,CP_1M,40,40,40,Hu21,False,3.8,120
Delta,CP_2M,100,100,100,Li21c,False,1,300
Delta,CP_5M,100,100,100,Li21c,False,1,300
Delta,CP_6M,30,30,30,Edara21b,False,2,90
Delta,CP_6M,65,65,65,Virtanen21,False,1,195
Delta,CP_6M,20,20,20,West21,False,3.2,60
Delta,CP_8M,40,40,40,Hu21,False,4.2,120
Delta,CP_8M,100,100,100,Li21c,False,1,300
Delta,CP_Asymptomatic,24,24,24,Skelly21,False,10,72
Delta,CP_B.1.1.117+S:484K,1,1,1,Cele21,False,0.6,3
Delta,CP_BNT_infected,16,16,16,Turner21,False,1.5,48
Delta,CP_BNT_uninfected,36,36,36,Turner21,False,1,108
Delta,CP_M3,56,56,56,Planas21,False,1.5,168
Delta,CP_M6,50,50,50,Planas21,False,1.5,150
Delta,CP_M9,60,60,60,Planas21,False,1.2,180
Delta,CP_Mild,40,40,40,Faulkner21,False,4.1,120
Delta,CP_Mild,180,180,180,Rees-Spear21,False,1.2,540
Delta,CP_Mild,58,0,0,Saade21,True,2.0,58
Delta,CP_Mild,24,24,24,Skelly21,False,8.1,72
Delta,CP_Orleans,42,42,42,Planas21b,False,1.3,126
Delta,CP_Patient,34,34,34,Faulkner21,False,2.5,102
Delta,CP_Patient_M3,34,34,34,Faulkner21,False,1.7,102
Delta,CP_Severe,180,180,180,Rees-Spear21,False,1,540
Delta,CP_Severe,50,0,0,Saade21,True,1.75,50
Delta,CP_Strasbourg,78,78,78,Planas21b,False,1.4,234
Delta,CP_VAC_recovered,22,22,22,Jalkanen21,False,1,66
Delta,CP_WT_mice,7,7,7,Weigang21,False,2.3,21
Delta,CP_Wildtype,40,40,40,Collier21,False,3.3,120
Delta,CP_acute,60,60,60,Edara21,False,0.8,180
Delta,CP_acute,19,19,19,Edara21b,False,4.7,57
Delta,CP_first_wave,31,62,31,Tea21,True,4.0,124
Delta,CP_high_titer,131,131,131,Alenquer21,False,2.4,393
Delta,CP_high_titer,44,44,44,Wibmer21,False,14,132
Delta,CP_hosp,56,28,0,Caniels21,True,2.4,84
Delta,CP_infected,10,10,10,Goel21,False,2.9,30
Delta,CP_low_titer,123,123,123,Alenquer21,False,1.9,369
Delta,CP_low_titer,44,44,44,Wibmer21,False,8.5,132
Delta,CP_medium_titer,78,78,78,Alenquer21,False,1.8,234
Delta,CP_non-hosp,41,82,0,Caniels21,True,3.0,123
Delta,CP_recovered,26,26,26,Geers21,False,0.6,78
Delta,IVIG,24,24,24,Tang21,False,3.6,72
Epsilon,BNT_infected,24,24,24,Reynolds21,False,14,72
Epsilon,BNT_infected,0,24,0,Reynolds21,True,8.5,24
Epsilon,CP,60,60,60,Andreano21,False,2.7,180
Epsilon,CP,0,20,0,Annavajhala21b,True,4.1,20
Epsilon,CP,20,0,0,Annavajhala21b,True,2.6,20
Epsilon,CP,16,16,16,Arora21,False,2.4,48
Epsilon,CP,86,86,86,Bates21,False,1,258
Epsilon,CP,6,6,6,Becker21,False,5.5,18
Epsilon,CP,214,107,0,Betton21,True,1.0,321
Epsilon,CP,13,13,13,Brown21,False,0.8,39
Epsilon,CP,244,244,244,Cantoni21,False,2.7,732
Epsilon,CP,13,13,13,Cele21,False,8.5,39
Epsilon,CP,105,105,105,Chen21,False,2.4,315
Epsilon,CP,37,37,37,Collier21,False,1.7,111
Epsilon,CP,34,34,34,Dejnirattisai21,False,3,102
Epsilon,CP,36,36,36,Deng21,False,2,108
Epsilon,CP,6,6,0,Diez21,True,3.15,12
Epsilon,CP,315,315,315,Dupont21,False,2.1,945
Epsilon,CP,60,60,60,Edara21,False,0.6,180
Epsilon,CP,30,30,30,Edara21b,False,5.1,90
Epsilon,CP,48,48,48,Edara21c,False,4.1,144
Epsilon,CP,11,11,11,Graham21,False,2,33
Epsilon,CP,50,50,50,Greaney21,False,1.7,150
Epsilon,CP,48,48,48,Greaney21c,False,2,144
Epsilon,CP,27,27,27,Hoffmann21,False,3,81
Epsilon,CP,14,14,14,Hoffmann21b,False,2.1,42
Epsilon,CP,30,30,30,Hoffmann21c,False,2.5,90
Epsilon,CP,40,40,40,Hu21c,False,1.7,120
Epsilon,CP,68,68,68,Imai21,False,1,204
Epsilon,CP,150,150,150,Jalkanen21,False,1,450
Epsilon,CP,30,30,30,Jangra21,False,2.5,90
Epsilon,CP,9,9,9,Kemp21,False,1.3,27
Epsilon,CP,20,20,20,Kuzmina21,False,2.9,60
Epsilon,CP,20,10,0,Leier21,True,1.5,30
Epsilon,CP,820,820,820,Li20h,False,1.1,2460
Epsilon,CP,270,36,0,Li21c,True,0.9,306
Epsilon,CP,240,240,240,Li21d,False,3.1,720
Epsilon,CP,186,186,186,Liu21,False,1.6,558
Epsilon,CP,64,64,64,Liu21f,False,3.0,192
Epsilon,CP,64,64,64,Liu21h,False,1.5,192
Epsilon,CP,30,30,30,Marot21,False,4,90
Epsilon,CP,30,15,15,Marot21,True,4.3,60
Epsilon,CP,36,36,36,McCallum21b,False,7,108
Epsilon,CP,12,24,0,Mlcochova21,True,6.2,36
Epsilon,CP,44,44,44,Moyo-Gwete21,False,15,132
Epsilon,CP,580,580,580,Muecksch21b,False,2.4,1740
Epsilon,CP,18,18,18,Riou21,False,13,54
Epsilon,CP,12,12,12,Rondinone21,False,1,36
Epsilon,CP,34,0,0,Saade21,True,0.7,34
Epsilon,CP,19,19,19,Sapkal21,False,1,57
Epsilon,CP,180,180,180,Shen21,False,1.3,540
Epsilon,CP,56,56,56,Shen21b,False,3.7,168
Epsilon,CP,30,30,30,Stamatatos21,False,4.1,90
Epsilon,CP,9,9,9,Stankov21,False,1,27
Epsilon,CP,34,34,34,Supasa21,False,2.5,102
Epsilon,CP,155,155,155,Tada21,False,0.9,465
Epsilon,CP,10,0,0,Tada21,True,1.8,10
Epsilon,CP,80,80,80,Tada21c,False,2.0,240
Epsilon,CP,56,56,56,Tada21d,False,1.6,168
Epsilon,CP,112,112,112,Tada21e,False,2.2,336
Epsilon,CP,72,72,72,Tang21,False,2.8,216
Epsilon,CP,192,192,192,Trinite21,False,1.1,576
Epsilon,CP,42,84,0,Trombetta21,True,3.5,126
Epsilon,CP,56,56,56,Uriu21,False,4.0,168
Epsilon,CP,60,90,30,Vacharathit21,True,8.0,180
Epsilon,CP,20,0,0,Vicenti21,True,0.6,20
Epsilon,CP,42,21,0,Vidal21,True,1.3,63
Epsilon,CP,125,125,125,Virtanen21,False,1,375
Epsilon,CP,400,400,400,Wang21b,False,1.4,1200
Epsilon,CP,40,40,40,Wang21d,False,2.1,120
Epsilon,CP,240,240,240,Wang21f,False,1,720
Epsilon,CP,102,102,102,Wang21g,False,1.0,306
Epsilon,CP,9,9,9,Weigang21,False,2.4,27
Epsilon,CP,52,52,52,Weisblum20,False,2.3,156
Epsilon,CP,80,80,80,Widera21,False,2,240
Epsilon,CP,20,20,0,Wilhelm21,True,2.85,40
Epsilon,CP,20,20,0,Wilhelm21,True,3.0,40
Epsilon,CP,90,20,0,Wilson21,True,1.4,110
Epsilon,CP,40,40,40,Yadav21b,False,2.4,120
Epsilon,CP,90,90,90,Yi21,False,1.8,270
Epsilon,CP,80,5,0,Zhang21c,True,1.3,85
Epsilon,CP,34,34,34,Zhou21b,False,11,102
Epsilon,CP,18,18,18,Zhou21c,False,3.2,54
Epsilon,CP,42,42,42,deSouza21,False,11,126
Epsilon,CP_1.3M,20,20,20,West21,False,3,60
Epsilon,CP_1M,40,40,40,Hu21,False,3.8,120
Epsilon,CP_2M,100,100,100,Li21c,False,1,300
Epsilon,CP_5M,100,100,100,Li21c,False,1,300
Epsilon,CP_6M,30,30,30,Edara21b,False,2,90
Epsilon,CP_6M,65,65,65,Virtanen21,False,1,195
Epsilon,CP_6M,20,20,20,West21,False,3.2,60
Epsilon,CP_8M,40,40,40,Hu21,False,4.2,120
Epsilon,CP_8M,100,100,100,Li21c,False,1,300
Epsilon,CP_Asymptomatic,24,24,24,Skelly21,False,10,72
Epsilon,CP_B.1.1.117+S:484K,1,1,1,Cele21,False,0.6,3
Epsilon,CP_BNT_infected,16,16,16,Turner21,False,1.5,48
Epsilon,CP_BNT_uninfected,36,36,36,Turner21,False,1,108
Epsilon,CP_M3,56,56,56,Planas21,False,1.5,168
Epsilon,CP_M6,50,50,50,Planas21,False,1.5,150
Epsilon,CP_M9,60,60,60,Planas21,False,1.2,180
Epsilon,CP_Mild,40,40,40,Faulkner21,False,4.1,120
Epsilon,CP_Mild,180,180,180,Rees-Spear21,False,1.2,540
Epsilon,CP_Mild,58,0,0,Saade21,True,2.0,58
Epsilon,CP_Mild,24,24,24,Skelly21,False,8.1,72
Epsilon,CP_Orleans,42,42,42,Planas21b,False,1.3,126
