iso_name,rx_name,ref_name,fold,titer,month,infection,num_result,variant
Beta,CP,Bates21,0.1,8840.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.0,4281.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.8,5456.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.0,56.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.3,218.0,>=2,infected,1,Beta
Alpha,CP,Bates21,2.1,960.0,>=2,infected,1,Alpha
Beta,CP,Bates21,402.4,5.0,>=2,infected,1,Beta
Alpha,CP,Bates21,0.3,2276.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.2,2575.0,>=2,infected,1,Beta
Alpha,CP,Bates21,0.8,1833.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.3,5456.0,>=2,infected,1,Beta
Alpha,CP,Bates21,0.3,2575.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.1,5397.0,>=2,infected,1,Beta
Alpha,CP,Bates21,0.2,4833.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.2,6158.0,>=2,infected,1,Beta
Alpha,CP,Bates21,0.1,71969.0,>=2,infected,1,Alpha
Beta,CP,Bates21,1.0,4771.0,>=2,infected,1,Beta
Alpha,CP,Bates21,1.4,586.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.6,1389.0,>=2,infected,1,Beta
Alpha,CP,Bates21,0.2,2575.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.2,2575.0,>=2,infected,1,Beta
Alpha,CP,Bates21,2.3,264.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.3,1833.0,>=2,infected,1,Beta
Alpha,CP,Bates21,745.6,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,745.6,5.0,>=2,infected,1,Beta
Alpha,CP,Bates21,0.9,247.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.7,316.0,>=2,infected,1,Beta
Alpha,CP,Bates21,0.8,1086.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.5,1778.0,>=2,infected,1,Beta
Alpha,CP,Bates21,467.2,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,467.2,5.0,>=2,infected,1,Beta
Alpha,CP,Bates21,0.4,316.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.6,218.0,>=2,infected,1,Beta
Alpha,CP,Bates21,582.6,5.0,>=2,infected,1,Alpha
Beta,CP,Bates21,582.6,5.0,>=2,infected,1,Beta
Alpha,CP,Bates21,0.8,316.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.1,2012.0,>=2,infected,1,Beta
Alpha,CP,Bates21,0.1,1129.0,>=2,infected,1,Alpha
Beta,CP,Bates21,0.1,1129.0,>=2,infected,1,Beta
Beta,CP,Becker21,7.1,180.0,1,infected,1,Beta
Beta,CP,Becker21,3.4,497.0,1,infected,1,Beta
Beta,CP,Becker21,3.9,263.0,1,infected,1,Beta
Beta,CP,Becker21,2.6,812.0,1,infected,1,Beta
Beta,CP,Becker21,13.0,393.0,1,infected,1,Beta
Beta,CP,Becker21,41.4,20.0,1,infected,1,Beta
B.1,CP,Brown21,1.3,72.0,1,infected,1,B.1
B.1,CP,Brown21,1.3,194.0,1,infected,1,B.1
B.1,CP,Brown21,3.7,26.0,1,infected,1,B.1
B.1,CP,Brown21,5.3,18.0,1,infected,1,B.1
B.1,CP,Brown21,2.2,26.0,1,infected,1,B.1
B.1,CP,Brown21,1.9,72.0,1,infected,1,B.1
B.1,CP,Brown21,4.6,35.0,1,infected,1,B.1
B.1,CP,Brown21,3.4,35.0,1,infected,1,B.1
B.1,CP,Brown21,2.5,48.0,1,infected,1,B.1
B.1,CP,Brown21,4.0,53.0,1,infected,1,B.1
B.1,CP,Brown21,1.6,17.0,1,infected,1,B.1
Alpha,CP,Brown21,0.6,55.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.5,66.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.8,79.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.6,99.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.8,148.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.9,99.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.5,135.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.8,90.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.8,254.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.4,44.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.4,58.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.2,95.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.3,95.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.3,118.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.2,162.0,1,infected,1,Alpha
Alpha,CP,Brown21,1.8,254.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.4,118.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.6,27.0,1,infected,1,Alpha
Alpha,CP,Brown21,1.1,142.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.8,714.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.8,142.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.8,108.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.7,60.0,1,infected,1,Alpha
Alpha,CP,Brown21,0.3,212.0,1,infected,1,Alpha
B.1.1.298,CP,Cantoni21,0.8,233.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.5,133.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,3.2,61.0,1,infected,1,Gamma
Beta,CP,Cantoni21,4.2,46.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.3,98.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,3.0,42.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,126.0,1.0,1,infected,1,Gamma
Beta,CP,Cantoni21,126.0,1.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,0.8,236.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,3.0,60.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,180.0,1.0,1,infected,1,Gamma
Beta,CP,Cantoni21,180.0,1.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,0.9,450.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.9,213.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,9.9,42.0,1,infected,1,Gamma
Beta,CP,Cantoni21,4.5,92.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.6,842.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,2.7,480.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,11.3,116.0,1,infected,1,Gamma
Beta,CP,Cantoni21,12.0,110.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,2.0,216.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,2.7,157.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,6.2,68.0,1,infected,1,Gamma
Beta,CP,Cantoni21,5.3,80.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.9,1549.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.7,1681.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,21.4,137.0,1,infected,1,Gamma
Beta,CP,Cantoni21,19.7,149.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.6,300.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.3,368.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,5.1,95.0,1,infected,1,Gamma
Beta,CP,Cantoni21,4.6,104.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.2,1070.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.5,846.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,3.7,339.0,1,infected,1,Gamma
Beta,CP,Cantoni21,3.4,364.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,0.5,124.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,0.6,103.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,64.0,1.0,1,infected,1,Gamma
Beta,CP,Cantoni21,64.0,1.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.0,79.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,77.0,1.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,77.0,1.0,1,infected,1,Gamma
Beta,CP,Cantoni21,77.0,1.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,0.9,738.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.9,368.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,3.8,181.0,1,infected,1,Gamma
Beta,CP,Cantoni21,11.3,61.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,2.3,161.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.8,209.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,6.6,56.0,1,infected,1,Gamma
Beta,CP,Cantoni21,368.0,1.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.9,285.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,3.2,170.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,6.8,80.0,1,infected,1,Gamma
Beta,CP,Cantoni21,8.5,64.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.0,53.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,0.4,131.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,55.0,1.0,1,infected,1,Gamma
Beta,CP,Cantoni21,55.0,1.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,2.1,64.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,3.1,44.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,136.0,1.0,1,infected,1,Gamma
Beta,CP,Cantoni21,136.0,1.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.3,1845.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.2,2080.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,4.3,568.0,1,infected,1,Gamma
Beta,CP,Cantoni21,7.6,326.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.1,1130.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.2,1111.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,3.0,431.0,1,infected,1,Gamma
Beta,CP,Cantoni21,1.8,699.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,2.4,184.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,8.2,54.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,445.0,1.0,1,infected,1,Gamma
Beta,CP,Cantoni21,445.0,1.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.9,2516.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,2.7,1747.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,8.8,535.0,1,infected,1,Gamma
Beta,CP,Cantoni21,7.4,637.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.7,692.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,5.2,220.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,11.8,97.0,1,infected,1,Gamma
Beta,CP,Cantoni21,9.5,120.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.1,1533.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.7,954.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,3.3,493.0,1,infected,1,Gamma
Beta,CP,Cantoni21,4.5,360.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,2.3,4709.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.9,5546.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,26.6,401.0,1,infected,1,Gamma
Beta,CP,Cantoni21,77.3,138.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,2.6,297.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.4,538.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,6.9,110.0,1,infected,1,Gamma
Beta,CP,Cantoni21,8.4,91.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,0.9,2184.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.2,1592.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,11.2,170.0,1,infected,1,Gamma
Beta,CP,Cantoni21,6.4,297.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,2.0,368.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.4,535.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,4.3,170.0,1,infected,1,Gamma
Beta,CP,Cantoni21,5.4,134.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.0,1018.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,3.1,324.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,11.2,89.0,1,infected,1,Gamma
Beta,CP,Cantoni21,12.9,77.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,2.2,851.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,5.5,337.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,18.1,102.0,1,infected,1,Gamma
Beta,CP,Cantoni21,11.5,161.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,0.5,944.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,2.1,235.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,2.1,231.0,1,infected,1,Gamma
Beta,CP,Cantoni21,1.8,281.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,0.9,3029.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.5,1805.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,4.3,627.0,1,infected,1,Gamma
Beta,CP,Cantoni21,3.8,723.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.9,2822.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,3.3,1584.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,16.0,328.0,1,infected,1,Gamma
Beta,CP,Cantoni21,22.3,235.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,3.1,2102.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,2.8,2370.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,15.8,419.0,1,infected,1,Gamma
Beta,CP,Cantoni21,24.7,267.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.4,1389.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.6,1167.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,7.1,269.0,1,infected,1,Gamma
Beta,CP,Cantoni21,11.0,174.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,2.9,218.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,0.7,903.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,624.0,1.0,1,infected,1,Gamma
Beta,CP,Cantoni21,624.0,1.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.7,3079.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,2.4,2184.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,8.5,610.0,1,infected,1,Gamma
Beta,CP,Cantoni21,11.2,462.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,2.3,1776.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,3.0,1374.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,16.6,247.0,1,infected,1,Gamma
Beta,CP,Cantoni21,13.6,302.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.3,257.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,2.0,166.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,3.9,84.0,1,infected,1,Gamma
Beta,CP,Cantoni21,4.3,77.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,2.2,879.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,3.4,575.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,7.9,250.0,1,infected,1,Gamma
Beta,CP,Cantoni21,4.9,403.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.4,2449.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.7,2002.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,7.2,480.0,1,infected,1,Gamma
Beta,CP,Cantoni21,6.2,556.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.0,136.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,0.8,185.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,142.0,1.0,1,infected,1,Gamma
Beta,CP,Cantoni21,2.9,49.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,2.0,139.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.8,150.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,5.7,49.0,1,infected,1,Gamma
Beta,CP,Cantoni21,5.4,51.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.3,1136.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.4,1064.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,6.5,235.0,1,infected,1,Gamma
Beta,CP,Cantoni21,4.3,360.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,3.2,452.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,1.7,837.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,8.6,168.0,1,infected,1,Gamma
Beta,CP,Cantoni21,8.3,174.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,2.0,255.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,2.9,179.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,8.6,60.0,1,infected,1,Gamma
Beta,CP,Cantoni21,7.5,69.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.2,692.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,2.5,337.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,7.4,115.0,1,infected,1,Gamma
Beta,CP,Cantoni21,6.9,124.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,2.1,767.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,2.1,767.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,11.7,139.0,1,infected,1,Gamma
Beta,CP,Cantoni21,12.4,131.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,1.3,1405.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,2.4,755.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,9.0,198.0,1,infected,1,Gamma
Beta,CP,Cantoni21,8.9,200.0,1,infected,1,Beta
B.1.1.298,CP,Cantoni21,2.7,152.0,1,infected,1,B.1.1.298
Alpha,CP,Cantoni21,5.6,74.0,1,infected,1,Alpha
Gamma,CP,Cantoni21,2.7,155.0,1,infected,1,Gamma
